HJD,mag,Band,Survey
-19954.70277500013,15.537685,B,DASCH
-19941.67775100004,15.779879999999999,B,DASCH
-19926.726677000057,15.504968,B,DASCH
-19919.76462599961,15.246379999999998,B,DASCH
-19820.34745600028,16.275642,B,DASCH
-19806.36133700004,16.268839,B,DASCH
-19802.365309000015,15.784716,B,DASCH
-19801.354302000254,16.304531,B,DASCH
-19799.392290000338,16.236351000000003,B,DASCH
-19799.35687300004,15.849545999999998,B,DASCH
-19798.39828399988,15.747603,B,DASCH
-19796.36327299988,15.608437,B,DASCH
-19794.39626300009,15.978655999999999,B,DASCH
-19718.487189000007,15.165788000000001,B,DASCH
-19681.606977999676,15.676509,B,DASCH
-19680.520992999896,15.772735,B,DASCH
-19677.60034900019,14.575625,B,DASCH
-19675.696059000213,15.471007,B,DASCH
-19674.656072999816,15.711618,B,DASCH
-19647.7184179998,16.311874,B,DASCH
-19626.607625999954,16.657532,B,DASCH
-19624.641641999595,15.529991,B,DASCH
-19595.700772999786,15.346706,B,DASCH
-19595.63377299998,15.442944,B,DASCH
-19438.35431699967,15.223147,B,DASCH
-19415.353215000127,15.678285999999998,B,DASCH
-19414.420212999918,15.747010000000001,B,DASCH
-19414.35321300011,15.799316000000001,B,DASCH
-19410.42720800033,15.759723999999999,B,DASCH
-19410.362208000384,15.57412,B,DASCH
-19409.42520699976,15.274067,B,DASCH
-19409.359207000118,15.233629999999998,B,DASCH
-19408.489207000006,15.699074,B,DASCH
-19408.424207000062,15.717148000000002,B,DASCH
-19408.359207000118,15.766673999999998,B,DASCH
-19407.44420700008,15.84542,B,DASCH
-19406.43320700014,16.163560999999998,B,DASCH
-19406.363206999842,16.175201,B,DASCH
-19394.453222999815,15.506720000000001,B,DASCH
-19394.393224,15.835894,B,DASCH
-19393.448700000066,15.830823,B,DASCH
-19393.384227000177,15.728947,B,DASCH
-19381.542276999913,15.676215,B,DASCH
-19381.476278000046,15.602037,B,DASCH
-19381.409277999774,15.222282,B,DASCH
-19380.566283000167,15.417539000000001,B,DASCH
