
997.935977306,-8.231,-7.943
978.81859655,-8.248,-7.971
956.940585667,-8.263,-8.021
939.895914572,-8.22,-7.88
904.921504948,-8.138,-7.807
881.981647492,-8.175,-7.808
875.031667599,-8.277,-7.991
871.990972854,-99.0,-99.0
853.043156054,-8.254,-8.009
833.67235379,-8.287,-8.074
812.700860674,-8.159,-7.828
804.685469363,-8.131,-7.79
789.748981762,-8.193,-7.886
782.749189025,-8.296,-8.03
776.683307565,-8.096,-7.767
743.744985879,-8.216,-99.0
729.831639125,-8.283,-8.043
716.848529895,-8.228,-7.924
712.808702213,-8.211,-7.882
689.83850948,-8.211,-7.917
685.83400516,-8.198,-7.876
621.799496633,-8.32,-8.101
608.871656259,-8.184,-7.872
599.808075825,-8.046,-7.725
587.041748697,-8.308,-8.074
573.827325102,-8.122,-7.787
549.889108333,-8.056,-7.716
537.927319525,-8.1,-7.763
520.947729759,-8.272,-7.99
299.923040524,-8.077,-7.757
281.955746599,-8.232,-7.939
269.91295235,-8.159,-7.83
258.889869602,-8.228,-99.0
255.971803322,-8.344,-99.0
252.767341607,-8.184,-99.0
246.938413711,-8.191,-7.872
210.980993561,-8.102,-7.767
201.872210647,-8.335,-8.082
190.917240678,-8.277,-8.039
169.96064111,-8.184,-7.843
69.8756175074,-8.185,-7.848
61.8614160954,-8.159,-7.801
59.6843876899,-8.33,-8.13
55.9030379462,-8.344,-8.119
51.8651841218,-99.0,-8.1
45.7511019711,-8.07,-7.727
28.6926754317,-8.319,-8.086
16.8411281202,-8.274,-8.032
11.8088697507,-8.135,-7.79
4.2008933709,-8.083,-7.757
79.2025833512,-8.332,-8.089
109.186697846,-8.241,-7.98
129.219244003,-8.327,-8.066
186.99462939,-8.317,-8.081
216.99854185,-8.248,-7.976
228.94532323,-8.309,-8.083
255.908204675,-8.339,-8.09
303.299082822,-8.212,-7.923
350.24209353,-8.114,-7.784
351.084803309,-8.092,-7.761
370.156299579,-8.076,-7.755
378.143464475,-8.104,-7.801
390.255639418,-8.268,-8.04
396.194965087,-8.143,-7.813
402.230183345,-8.342,-8.121
412.183795687,-8.086,-7.748
429.098765218,-8.339,-8.139
438.123223166,-8.199,-7.897
446.127971572,-8.146,-7.805
446.226070817,-8.159,-7.808
462.105532777,-8.098,-7.752
