  2450477.68007   16.023    0.013
  2450478.71453   16.666    0.015
  2450499.69533   16.889    0.017
  2450786.83157   16.780    0.014
  2450800.78810   16.891    0.015
  2450818.78279   15.900    0.018
  2450827.81434   16.955    0.022
  2450846.70050   16.562    0.014
  2450851.71766   16.688    0.017
  2450880.69035   16.767    0.017
  2450891.64746   16.867    0.018
  2451184.78775   16.716    0.015
  2451186.71206   15.876    0.018
  2451190.84743   16.390    0.020
  2451206.70260   15.931    0.010
  2451208.71252   16.847    0.024
  2451215.66786   16.897    0.014
  2451233.63590   15.891    0.010
  2451244.56224   16.498    0.013
  2451252.55966   16.870    0.014
  2451518.76339   16.399    0.014
  2451532.74810   16.660    0.020
  2451607.64390   16.930    0.011
