BRIGHT-LMC-CEP-1 4:49:04.5 -69:06:43 
BRIGHT-LMC-CEP-2 4:46:08.4 -69:02:47 
OGLE-LMC-CEP-0063 4:45:18.7 -69:16:38
OGLE-LMC-CEP-0068 4:45:37.2 -70:15:04
OGLE-LMC-CEP-0137 4:49:53.8 -69:45:16
OGLE-LMC-CEP-0147 4:50:03.2 -68:15:34
OGLE-LMC-CEP-0249 4:52:47.7 -68:20:56
OGLE-LMC-CEP-0328 4:54:23.9 -70:54:05
OGLE-LMC-CEP-0367 4:55:06.3 -67:28:33
OGLE-LMC-CEP-0434 4:56:27.5 -69:22:46
OGLE-LMC-CEP-0461 4:57:01.8 -67:59:43
OGLE-LMC-CEP-0510 4:58:05.6 -69:27:15
OGLE-LMC-CEP-0512 4:58:10.8 -69:56:59
OGLE-LMC-CEP-0528 4:58:32.8 -70:20:45
OGLE-LMC-CEP-0590 4:59:41.2 -69:27:21
OGLE-LMC-CEP-0619 5:00:07.6 -68:26:60
OGLE-LMC-CEP-0966 5:06:48.0 -70:02:13
OGLE-LMC-CEP-0992 5:07:16.0 -68:53:01
OGLE-LMC-CEP-0999 5:07:20.1 -70:27:15
OGLE-LMC-CEP-1100 5:09:04.4 -70:21:54
OGLE-LMC-CEP-1113 5:09:20.1 -70:27:27
OGLE-LMC-CEP-1290 5:13:53.7 -67:03:49
OGLE-LMC-CEP-1591 5:19:30.5 -68:41:10
OGLE-LMC-CEP-1632 5:20:17.5 -67:56:53
OGLE-LMC-CEP-1637 5:20:23.0 -69:02:18
OGLE-LMC-CEP-1677 5:21:12.5 -69:03:08
OGLE-LMC-CEP-2253 5:31:21.8 -70:57:25
OGLE-LMC-CEP-2504 5:35:36.1 -68:32:04
