title  Photometry data for S010103387315 from search centered on 05:40:39.60_-70:46:03.1 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
12010103387315	11613.824000	5481.372000	-13.303100	85.164083	-70.766924	16.107237	0.098561	15.782548	0.145470	2416816.643651	209528.500000	-12.861700	-13.386400	3.600000	4560.331000	1414.536000	3.720000	0.214000	0.000014	14.550000	0.002647	2.304200	0.000000	16.466738	0.106944	99.000000	-0.028311	0.354000	4709702	a	7098	576528	130	42500224	1382940673	418	372	308	254	187	127	81	34	32	4	415	1	0	0	5	0	896	130	2052	15.782548	99.000000	85.165373	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	12644.149000	4769.144000	-13.667800	85.164193	-70.767220	16.481163	0.133352	15.963085	0.088648	2416820.566632	293174.200000	-13.091700	-13.799300	3.500000	4377.154000	1398.776000	66.810000	0.254000	0.000014	20.820000	0.003786	2.307000	0.000000	16.341600	0.131347	0.595679	0.085978	0.432000	4709702	a	7101	304002	130	8921216	1382940675	426	393	353	293	215	147	93	42	47	0	366	1	0	0	5	0	896	130	2031	15.963085	99.000000	85.165373	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	12477.210000	4749.907000	-13.581900	85.163918	-70.766838	16.417023	0.125780	15.993941	0.094644	2416820.650631	270859.700000	-13.019200	-13.732000	3.500000	4972.818000	1274.122000	28.060000	0.133000	0.000015	17.480000	0.003179	2.326600	0.000000	16.437393	0.111541	99.000000	0.082881	0.342000	4709702	a	7102	227687	130	8953984	1382940675	447	394	337	276	223	161	105	58	66	4	366	1	0	0	5	0	896	130	2031	15.993941	99.000000	85.165373	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	12821.989000	4381.470000	-14.007000	85.164643	-70.767241	16.201283	0.137587	15.860047	0.105030	2416820.746631	400682.000000	-13.097700	-14.166600	3.500000	4149.978000	1446.320000	-5.960000	0.242000	0.000020	25.700000	0.004673	2.351900	0.000000	16.400661	0.138162	99.000000	0.016735	0.323000	4709702	a	7103	427817	130	557056	1382940675	603	541	472	386	293	200	118	40	88	4	316	1	0	0	6	0	896	130	2427	15.860047	99.000000	85.165373	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	12597.833000	4407.550000	-13.646000	85.163847	-70.767268	16.421457	0.118669	16.008654	0.128037	2416820.837630	287346.600000	-12.991700	-13.783500	3.500000	4440.422000	1222.030000	38.770000	0.274000	0.000017	19.180000	0.003489	2.367900	0.000000	16.426937	0.102373	0.760993	0.046704	0.366000	4709702	a	7104	177087	130	76029952	1382940675	513	467	401	335	266	197	121	56	53	0	366	1	0	0	5	0	896	130	2427	16.008654	99.000000	85.165373	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	11837.568000	5581.989000	-13.702900	85.164398	-70.767030	16.086685	0.115605	15.736991	0.106709	2416855.572548	302801.300000	-13.289600	-13.793500	3.500000	4926.272000	1821.967000	-15.680000	0.130000	0.000014	13.550000	0.002463	2.264700	0.000000	16.565512	0.112068	99.000000	0.017995	0.334000	4709702	a	7123	256201	130	557184	1114505219	411	346	296	237	185	138	95	45	55	4	415	1	0	0	5	0	896	130	2448	15.736991	99.000000	85.165372	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	11525.004000	5842.189000	-13.699700	85.164688	-70.767029	16.245779	0.121269	15.875977	0.062475	2416856.556548	301905.700000	-13.358200	-13.857100	3.590000	4079.361000	2032.370000	-25.490000	0.358000	0.000010	16.590000	0.003018	2.261200	0.000000	16.367205	0.100769	99.000000	0.030502	0.340000	4709702	a	7125	238660	130	34119808	1114505216	298	273	233	188	153	114	87	49	61	4	465	1	0	0	5	0	896	130	2052	15.875977	99.000000	85.165372	-70.767554	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	9424.774000	13619.911000	-9.176200	85.168119	-70.763202	14.196791	0.448676	13.868616	0.471778	2417081.885609	4682.500000	-7.906800	-9.389100	3.500000	3819.692000	1013.801000	-81.970000	0.156000	0.000028	4.270000	0.007939	5.097300	13.930000	14.031280	0.179359	3.403411	-0.048825	0.386000	4709702	am	3831	506764	130	9969664	1382940672	8	6	5	5	4	3	3	1	238	0	1576	5	0	0	1	0	384	130	2726	13.868616	99.000000	85.165370	-70.767553	-3.700000	2.600000	0	0	0.000700	0	2
12010103387315	1111.809000	9526.247000	-9.749200	85.165678	-70.769477	11.646649	2.136776	11.643649	2.136776	2417378.667575	7937.243000	-7.795900	-10.280700	6.050000	3840.169000	588.798000	81.840000	0.270000	0.000064	5.050000	0.008089	18.128900	14.490000	11.781129	99.000000	99.000000	0.000000	0.000000	4709702	am	4328	491029	180	1343797248	1080164352	27	24	21	18	14	9	5	2	0	5	1352	5	0	0	8	0	384	180	602	11.643649	99.000000	85.165507	-70.767466	-5.300000	-0.800000	0	0	0.000700	0	2
12010103387315	7778.387000	18580.758000	-13.860100	85.164921	-70.767649	15.968760	0.116525	15.676981	0.083449	2417965.606562	349987.200000	-13.104500	-13.894700	3.500000	4276.594000	1531.235000	-16.550000	0.303000	0.000018	22.170000	0.004030	2.132100	0.000000	16.835133	0.091967	2.069045	-0.031321	0.322000	4709702	a	8562	1292759	130	557184	1382940675	552	523	453	372	283	193	121	42	62	4	1460	1	0	0	4	0	896	130	1808	15.676981	99.000000	85.165363	-70.767551	-3.700000	2.600000	0	0	0.007500	0	2
