title  Photometry data for APASS_J045019.0-694302 from search centered on 04:50:19.00_-69:43:02.2 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
404501902694302	3775.943000	15169.890000	-9.946700	72.577829	-69.715994	15.129276	0.350504	14.872359	0.274119	2414588.721638	9521.131000	-9.402600	-10.918000	6.790000	3395.612000	506.359700	33.620000	0.376000	0.000008	10.110000	0.005531	3.565900	0.000000	14.924990	0.109197	1.355478	-0.081083	0.338000	5238897	b	22088	347547	130	42475648	1512964096	26	22	20	18	14	8	3	2	33	0	1710	6	0	0	4	0	904	130	1884	14.872359	99.000000	72.579664	-69.717398	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	24354.527000	21781.697000	-15.170600	72.579307	-69.716996	15.530720	0.345025	15.183450	0.195106	2414639.707648	1170172.000000	-14.242600	-15.190400	3.680000	4875.053000	3027.377000	22.200000	0.208000	0.000027	21.680000	0.003944	1.465300	0.000000	16.252344	0.318143	0.530882	0.070566	0.320000	5238897	a	3428	963095	130	34078720	1382943745	841	800	710	583	456	376	297	208	142	0	1731	1	0	0	2	0	832	130	1466	15.136538	0.169005	72.579664	-69.717398	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	10169.403000	15103.399000	-10.744600	72.579504	-69.717255	15.897936	0.187342	15.434538	0.192370	2415282.874929	19854.260000	-9.880500	-11.019700	4.370000	3898.609000	743.950900	-87.600000	0.256000	0.000018	7.910000	0.004329	2.396500	0.000000	15.612502	0.105523	1.436465	0.065398	0.316000	5238897	b	26255	891091	130	532480	1382940672	61	55	46	36	25	15	8	4	58	0	1729	6	0	0	2	0	896	130	1892	15.434538	99.000000	72.579657	-69.717395	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	23546.805000	29197.504000	-13.015600	72.579954	-69.717257	15.095073	0.075231	14.789038	0.058579	2415308.870382	160786.100000	-12.220300	-13.174700	4.190000	4565.264000	808.121100	66.930000	0.375000	0.000016	30.290000	0.005504	2.590800	0.000000	15.233214	0.066864	0.360668	-0.010653	0.318000	5238897	a	4807	2719442	130	532480	1382940672	495	457	384	322	230	134	56	12	69	0	2330	1	0	0	6	0	896	130	1553	14.789038	99.000000	72.579657	-69.717395	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	4288.650000	14702.209000	-12.004800	72.579111	-69.717102	15.154430	0.093294	14.754540	0.104771	2415347.743847	63376.180000	-10.106200	-12.084100	3.500000	3353.105000	791.251200	-57.740000	0.546000	0.000059	18.170000	0.009934	3.184800	0.000000	15.343213	0.094574	1.185559	-0.019070	0.314000	5238897	b	26708	692311	130	34078720	1382940672	191	172	153	123	84	58	30	12	147	0	1662	6	0	0	3	0	896	130	2284	14.754540	99.000000	72.579656	-69.717395	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	10782.734000	6621.233000	-9.859500	72.584642	-69.718154	15.734496	0.225761	15.404855	0.248358	2415372.723771	8786.220000	-8.829800	-10.260400	5.710000	3116.023000	260.834800	-23.410000	0.700000	0.000017	12.940000	0.007078	2.633900	0.000000	15.410525	0.173129	2.300972	-0.117095	0.328000	5238897	b	26816	378763	130	8921088	1382940672	57	55	49	40	29	19	11	4	166	0	780	6	0	0	2	0	4992	130	1702	15.404855	99.000000	72.579656	-69.717395	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	9899.236000	6368.111000	-11.031200	72.579015	-69.718514	15.402039	0.196487	14.963625	0.184520	2415726.717890	25850.580000	-9.053700	-11.094800	3.630000	3356.190000	662.549700	-75.810000	0.274000	0.000040	19.250000	0.010530	2.601500	0.000000	15.351321	0.068665	1.527644	-0.020594	0.316000	5238897	b	28942	355991	130	34087040	1517158403	134	119	93	61	29	14	8	4	31	0	728	6	0	0	3	0	904	130	2081	14.963625	99.000000	72.579652	-69.717393	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	5265.798000	15417.665000	-11.805000	72.580716	-69.717195	15.243758	0.153939	14.881023	0.069828	2416107.679890	52723.620000	-10.910300	-11.879000	3.500000	3349.980000	1748.523000	-46.570000	0.135000	0.000030	9.590000	0.005251	3.094700	0.000000	16.440290	0.106993	1.103327	-0.107769	0.317000	5238897	b	31199	597806	130	524416	1517158400	99	82	61	47	37	25	17	7	70	0	1765	6	0	0	3	0	904	130	2665	14.881023	99.000000	72.579648	-69.717392	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	9487.228000	6560.671000	-9.376800	72.578715	-69.718287	15.502582	0.321657	15.120391	0.290726	2416727.877768	5632.550000	-8.831600	-10.136900	4.340000	3920.824000	268.271100	49.780000	0.320000	0.000007	10.400000	0.005690	2.452600	0.000000	15.477708	0.174262	1.404386	-0.048521	0.331000	5238897	b	34849	289978	136	34087040	1382940672	24	24	21	19	17	13	8	3	189	0	727	6	0	0	2	0	896	136	1682	15.120391	99.000000	72.579642	-69.717389	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	35328.699000	9632.057000	-14.183700	72.580697	-69.715375	15.302016	0.075850	14.941904	0.075850	2416816.643818	471478.300000	-13.046200	-14.282900	3.800000	4552.836000	1301.052000	18.700000	0.121000	0.000030	31.620000	0.005740	3.141100	0.000000	15.766423	99.000000	99.000000	-0.055309	0.326000	5238897	a	7098	1059983	130	378044544	1114243075	914	833	724	626	480	352	218	94	13	5	796	1	0	0	8	0	896	130	1714	14.941904	99.000000	72.579641	-69.717389	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36387.266000	8756.441000	-13.875100	72.581681	-69.716428	16.176443	0.127713	15.711970	0.162572	2416820.566771	354849.700000	-12.791300	-14.040300	4.270000	4244.491000	1141.473000	-1.980000	0.359000	0.000022	41.350000	0.007501	3.381900	0.000000	16.039547	0.118246	99.000000	0.107497	0.376000	5238897	a	7101	583731	130	8953984	1382940674	664	615	527	420	308	204	107	26	101	4	697	1	0	0	8	0	896	130	2089	15.711970	99.000000	72.579641	-69.717389	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36212.414000	8602.688000	-13.606300	72.582152	-69.717006	16.313738	0.106110	15.953150	0.133764	2416820.650770	277037.400000	-12.557800	-13.552700	4.900000	4879.747000	973.419400	-9.470000	0.601000	0.000020	39.440000	0.007157	3.364800	0.000000	16.077419	0.136973	1.090496	0.052083	0.319000	5238897	a	7102	478298	130	8921216	1382940674	620	576	480	393	298	221	129	41	136	0	697	1	0	0	8	0	4992	130	2089	15.953150	99.000000	72.579641	-69.717389	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36274.648000	8597.939000	-13.802000	72.580776	-69.716760	16.257324	0.133064	15.850756	0.126546	2416820.837767	331726.600000	-12.436300	-13.908000	3.500000	4254.275000	769.462500	2.380000	0.495000	0.000028	45.700000	0.008293	3.377800	0.000000	16.069258	0.108037	1.186668	-0.000304	0.399000	5238897	a	7104	384963	130	8921088	1382940672	858	766	661	506	367	227	98	28	121	0	697	1	0	0	8	0	896	130	2485	15.850756	99.000000	72.579641	-69.717389	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35529.789000	9310.666000	-14.979600	72.579490	-69.717055	15.838616	0.116768	15.432795	0.103722	2416823.637734	981430.200000	-13.547000	-15.042500	3.840000	4046.693000	2000.760000	-11.650000	0.148000	0.000038	32.380000	0.005877	3.202100	0.000000	16.595201	0.144311	1.613434	0.092037	0.321000	5238897	a	7114	638271	130	524288	1382940673	1171	1081	937	760	620	474	285	75	112	0	746	1	0	0	8	0	896	130	1714	15.432795	99.000000	72.579641	-69.717389	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	35500.621000	9854.308000	-14.467900	72.580706	-69.716990	15.460472	0.104841	15.074644	0.105391	2416855.572422	612557.900000	-13.274900	-14.486600	3.730000	4888.729000	1768.351000	2.010000	0.213000	0.000028	35.110000	0.006374	3.162400	0.000000	16.076742	0.118654	1.240452	0.054428	0.315000	5238897	a	7123	538850	130	34078848	1382940672	847	792	700	573	441	319	197	83	38	0	796	1	0	0	8	0	896	130	1714	15.074644	99.000000	72.579641	-69.717388	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	12841.913000	21629.154000	-12.150500	72.599341	-69.724449	11.034469	1.249244	9.633973	1.249244	2418406.419714	72474.410000	-8.305300	-12.613300	3.500000	2251.147000	1235.111000	-42.550000	0.436000	0.000299	18.530000	0.031568	20.470800	13.630000	10.418506	99.000000	99.000000	0.000000	1.390000	5238897	ak	255	366805	146	1385748608	1114243075	106	99	85	76	61	37	19	5	0	5	2486	41	0	0	9	0	384	146	404	9.633973	99.000000	72.579625	-69.717382	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	13690.050000	10128.706000	-9.362800	72.581316	-69.715954	13.960832	0.341863	13.616252	0.510306	2418588.772161	5560.542000	-9.149300	-10.031600	5.950000	3860.908000	776.165300	87.350000	0.372000	0.000007	4.980000	0.002727	2.773000	0.000000	13.755481	0.109791	1.138643	-0.101628	0.336000	5238897	b	40907	639763	130	42475520	1382940675	21	18	14	8	6	4	3	1	35	0	1189	6	0	0	3	0	896	130	996	13.616252	99.000000	72.579623	-69.717381	-4.700000	5.700000	0	0	0.000700	0	2
