Normed_Mag,Band,Survey
11.258857512000022,I,OGLE3/OGLE4
11.14969578600002,I,OGLE3/OGLE4
11.18078615100002,I,OGLE3/OGLE4
11.033625090000022,I,OGLE3/OGLE4
11.301693126000021,I,OGLE3/OGLE4
11.18907691500002,I,OGLE3/OGLE4
11.297547744000022,I,OGLE3/OGLE4
11.22016728000002,I,OGLE3/OGLE4
11.09649671700002,I,OGLE3/OGLE4
11.146241301000021,I,OGLE3/OGLE4
11.137259640000021,I,OGLE3/OGLE4
11.00391651900002,I,OGLE3/OGLE4
11.280275319000022,I,OGLE3/OGLE4
11.180095254000022,I,OGLE3/OGLE4
11.28096621600002,I,OGLE3/OGLE4
11.246421366000021,I,OGLE3/OGLE4
11.265075585000021,I,OGLE3/OGLE4
11.15038668300002,I,OGLE3/OGLE4
11.179404357000017,I,OGLE3/OGLE4
11.304456714000024,I,OGLE3/OGLE4
11.21394920700002,I,OGLE3/OGLE4
11.229148941000021,I,OGLE3/OGLE4
11.247112263000021,I,OGLE3/OGLE4
11.304456714000024,I,OGLE3/OGLE4
11.305838508000022,I,OGLE3/OGLE4
11.245039572000021,I,OGLE3/OGLE4
11.136568743000021,I,OGLE3/OGLE4
11.128968876000021,I,OGLE3/OGLE4
11.28925698000002,I,OGLE3/OGLE4
11.236748808000021,I,OGLE3/OGLE4
11.047443030000021,I,OGLE3/OGLE4
11.202894855000022,I,OGLE3/OGLE4
11.30722030200002,I,OGLE3/OGLE4
11.08613326200002,I,OGLE3/OGLE4
11.16005924100002,I,OGLE3/OGLE4
11.215331001000022,I,OGLE3/OGLE4
11.140714125000022,I,OGLE3/OGLE4
11.00668010700002,I,OGLE3/OGLE4
11.171804490000023,I,OGLE3/OGLE4
11.319656448000021,I,OGLE3/OGLE4
11.280275319000022,I,OGLE3/OGLE4
11.27129365800002,I,OGLE3/OGLE4
11.14209591900002,I,OGLE3/OGLE4
11.035697781000021,I,OGLE3/OGLE4
11.303074920000022,I,OGLE3/OGLE4
11.291329671000021,I,OGLE3/OGLE4
11.276820834000022,I,OGLE3/OGLE4
11.24296688100002,I,OGLE3/OGLE4
11.12758708200002,I,OGLE3/OGLE4
11.195294988000022,I,OGLE3/OGLE4
11.218094589000023,I,OGLE3/OGLE4
11.202894855000022,I,OGLE3/OGLE4
11.099951202000021,I,OGLE3/OGLE4
11.175258975000022,I,OGLE3/OGLE4
11.310674787000021,I,OGLE3/OGLE4
11.22016728000002,I,OGLE3/OGLE4
11.16558641700002,I,OGLE3/OGLE4
11.307911199000023,I,OGLE3/OGLE4
11.254021233000023,I,OGLE3/OGLE4
11.113078245000022,I,OGLE3/OGLE4
11.295475053000022,I,OGLE3/OGLE4
11.30652940500002,I,OGLE3/OGLE4
11.095114923000022,I,OGLE3/OGLE4
11.167659108000022,I,OGLE3/OGLE4
11.193913194000023,I,OGLE3/OGLE4
11.03984316300002,I,OGLE3/OGLE4
11.081987880000021,I,OGLE3/OGLE4
11.242275984000022,I,OGLE3/OGLE4
11.128277979000021,I,OGLE3/OGLE4
11.29685684700002,I,OGLE3/OGLE4
11.193913194000023,I,OGLE3/OGLE4
11.117914524000021,I,OGLE3/OGLE4
11.163513726000023,I,OGLE3/OGLE4
11.201513061000021,I,OGLE3/OGLE4
11.12413259700002,I,OGLE3/OGLE4
11.312056581000022,I,OGLE3/OGLE4
11.219476383000021,I,OGLE3/OGLE4
11.215331001000022,I,OGLE3/OGLE4
11.229148941000021,I,OGLE3/OGLE4
11.175258975000022,I,OGLE3/OGLE4
11.075078910000022,I,OGLE3/OGLE4
11.075078910000022,I,OGLE3/OGLE4
10.992862167000022,I,OGLE3/OGLE4
11.31689286000002,I,OGLE3/OGLE4
