Normed_Mag,Band,Survey
10.698518586000022,I,OGLE3/OGLE4
10.418723931000022,I,OGLE3/OGLE4
10.679174758000022,I,OGLE3/OGLE4
10.516824773000023,I,OGLE3/OGLE4
10.380036275000021,I,OGLE3/OGLE4
10.610089658000023,I,OGLE3/OGLE4
10.521660730000022,I,OGLE3/OGLE4
10.453957332000021,I,OGLE3/OGLE4
10.399380103000022,I,OGLE3/OGLE4
10.526496687000021,I,OGLE3/OGLE4
10.377272871000022,I,OGLE3/OGLE4
10.650849867000023,I,OGLE3/OGLE4
10.711644755000023,I,OGLE3/OGLE4
10.590745830000023,I,OGLE3/OGLE4
10.377963722000022,I,OGLE3/OGLE4
10.704736245000023,I,OGLE3/OGLE4
10.473301160000021,I,OGLE3/OGLE4
10.670193695000023,I,OGLE3/OGLE4
10.595581787000022,I,OGLE3/OGLE4
10.567256896000021,I,OGLE3/OGLE4
10.353783937000022,I,OGLE3/OGLE4
10.576237959000022,I,OGLE3/OGLE4
10.441522014000022,I,OGLE3/OGLE4
10.337203513000022,I,OGLE3/OGLE4
10.684701566000022,I,OGLE3/OGLE4
10.50991626300002,I,OGLE3/OGLE4
10.599036042000023,I,OGLE3/OGLE4
10.631506039000021,I,OGLE3/OGLE4
10.418033080000022,I,OGLE3/OGLE4
10.717862414000022,I,OGLE3/OGLE4
10.655685824000022,I,OGLE3/OGLE4
10.478137117000022,I,OGLE3/OGLE4
10.703354543000023,I,OGLE3/OGLE4
10.591436681000022,I,OGLE3/OGLE4
10.38349053000002,I,OGLE3/OGLE4
10.692300927000023,I,OGLE3/OGLE4
10.527878389000023,I,OGLE3/OGLE4
10.506462008000023,I,OGLE3/OGLE4
10.481591372000022,I,OGLE3/OGLE4
10.714408159000023,I,OGLE3/OGLE4
10.33444010900002,I,OGLE3/OGLE4
10.641868804000023,I,OGLE3/OGLE4
10.591436681000022,I,OGLE3/OGLE4
10.415960527000022,I,OGLE3/OGLE4
10.553439876000022,I,OGLE3/OGLE4
10.335821811000022,I,OGLE3/OGLE4
10.455339034000023,I,OGLE3/OGLE4
10.688155821000022,I,OGLE3/OGLE4
10.339966917000021,I,OGLE3/OGLE4
10.660521781000021,I,OGLE3/OGLE4
10.708190500000022,I,OGLE3/OGLE4
10.344112023000022,I,OGLE3/OGLE4
10.475373713000021,I,OGLE3/OGLE4
10.61147136000002,I,OGLE3/OGLE4
10.33236755600002,I,OGLE3/OGLE4
10.716480712000022,I,OGLE3/OGLE4
10.709572202000023,I,OGLE3/OGLE4
10.625979231000022,I,OGLE3/OGLE4
10.384181381000023,I,OGLE3/OGLE4
10.672266248000023,I,OGLE3/OGLE4
10.462938395000021,I,OGLE3/OGLE4
10.467083501000022,I,OGLE3/OGLE4
10.407670315000022,I,OGLE3/OGLE4
10.351020533000021,I,OGLE3/OGLE4
10.392471593000021,I,OGLE3/OGLE4
10.660521781000021,I,OGLE3/OGLE4
10.616307317000024,I,OGLE3/OGLE4
10.596272638000022,I,OGLE3/OGLE4
10.551367323000022,I,OGLE3/OGLE4
10.525114985000021,I,OGLE3/OGLE4
10.538932005000023,I,OGLE3/OGLE4
10.631506039000021,I,OGLE3/OGLE4
10.571402002000022,I,OGLE3/OGLE4
10.340657768000021,I,OGLE3/OGLE4
10.480900521000022,I,OGLE3/OGLE4
10.647395612000023,I,OGLE3/OGLE4
10.469846905000022,I,OGLE3/OGLE4
10.711644755000023,I,OGLE3/OGLE4
10.582455618000022,I,OGLE3/OGLE4
