HJD,MAG,BAND,SURVEY
-38378.104213000275,-0.5364486260574965,B,DASCH
-38376.09064800013,-0.3215764024805079,B,DASCH
-37302.15173499985,0.10251531760276666,B,DASCH
-36503.27371300012,0.13363250039260066,B,DASCH
-36122.192318999674,-0.11049417361995673,B,DASCH
-36077.383622,-0.005006410771022374,B,DASCH
-35746.266046999954,0.042782887132867486,B,DASCH
-35699.319118000094,-0.24585424902742226,B,DASCH
-35699.279643000096,-0.26487688238229445,B,DASCH
-35403.112991999835,-0.45458138665447034,B,DASCH
-35360.292565000236,-0.36553150007199076,B,DASCH
-34910.492107999984,-0.18705572528614756,B,DASCH
-34717.12539499998,0.029347942730489684,B,DASCH
-34691.129993999835,0.21206948717051777,B,DASCH
-34684.1350730001,0.09131605851374669,B,DASCH
-34628.27092400007,0.19061910280945948,B,DASCH
-34339.115691999905,-1.3053287513872007,B,DASCH
-34260.353606000084,0.1240180373245714,B,DASCH
-33892.32028400013,-0.2673950770216127,B,DASCH
-33892.266611000065,-1.2230829698118013,B,DASCH
-33879.39148399979,0.29083928619394595,B,DASCH
-33868.349642999936,-0.10015108038389187,B,DASCH
-33622.138284000095,0.14253510093244515,B,DASCH
-33602.17960099969,0.3496494964720869,B,DASCH
-33254.157263999805,0.07312875848959166,B,DASCH
-33142.44217000017,0.11516523159397618,B,DASCH
-32871.19901299989,-0.12404903205277762,B,DASCH
-32034.39363399986,0.24787449557421937,B,DASCH
-31630.669716000088,-1.0950097041949824,B,DASCH
-31482.42106400011,-1.1550332818659168,B,DASCH
-31387.199128000062,-0.2072195743714289,B,DASCH
-31387.182506999925,-0.253482508938653,B,DASCH
-31369.197904000062,0.1867213887097412,B,DASCH
-31002.18229100015,-0.2648707850587133,B,DASCH
-30998.45260699978,-2.0667330498952214,B,DASCH
-30672.20966199972,-1.7528773834002713,B,DASCH
-30047.301547000185,-1.7659993318587777,B,DASCH
-29960.23309599981,-1.4266522797988772,B,DASCH
-28839.20993799996,-0.9980769944417256,B,DASCH
-28797.25022999989,-0.38899298499447266,B,DASCH
-27390.1119479998,-0.15438677364472575,B,DASCH
-26231.367550999857,0.3030806795051708,B,DASCH
-26002.106786000077,-1.0740511706028624,B,DASCH
-25587.228695000053,-0.2631233937422053,B,DASCH
-25511.410058999903,0.12632993918270063,B,DASCH
-25510.371243999805,0.2924916608846351,B,DASCH
-25508.36910100002,0.29717999460880407,B,DASCH
-25507.392615000248,0.31308283073094767,B,DASCH
-25506.401585999876,0.30473508663705395,B,DASCH
-25504.34196100012,0.10988698181326217,B,DASCH
-25504.301447000358,0.3684973398842786,B,DASCH
