Normed_Mag,Band,Survey
10.818912713000001,V,OGLE3/OGLE4
10.626840567,V,OGLE3/OGLE4
10.822367248,V,OGLE3/OGLE4
10.577786170000001,V,OGLE3/OGLE4
10.695240360000001,V,OGLE3/OGLE4
10.872112552,V,OGLE3/OGLE4
10.532877215000001,V,OGLE3/OGLE4
10.751894734,V,OGLE3/OGLE4
10.840330830000001,V,OGLE3/OGLE4
10.859676226000001,V,OGLE3/OGLE4
10.554986239,V,OGLE3/OGLE4
10.720113011999999,V,OGLE3/OGLE4
10.805094573,V,OGLE3/OGLE4
10.892148855,V,OGLE3/OGLE4
10.676585871,V,OGLE3/OGLE4
10.858985319,V,OGLE3/OGLE4
10.822367248,V,OGLE3/OGLE4
10.53633175,V,OGLE3/OGLE4
10.617858776,V,OGLE3/OGLE4
10.730476617,V,OGLE3/OGLE4
10.820985434,V,OGLE3/OGLE4
10.880403436,V,OGLE3/OGLE4
10.642731428000001,V,OGLE3/OGLE4
10.552913518,V,OGLE3/OGLE4
10.689713104,V,OGLE3/OGLE4
10.794730968000001,V,OGLE3/OGLE4
10.871421645,V,OGLE3/OGLE4
10.741531129000002,V,OGLE3/OGLE4
10.527349959,V,OGLE3/OGLE4
10.635822358,V,OGLE3/OGLE4
10.751894734,V,OGLE3/OGLE4
10.558440774000001,V,OGLE3/OGLE4
10.668985894,V,OGLE3/OGLE4
10.769858316,V,OGLE3/OGLE4
10.857603505,V,OGLE3/OGLE4
10.797494596000002,V,OGLE3/OGLE4
10.531495401,V,OGLE3/OGLE4
10.817530899000001,V,OGLE3/OGLE4
10.562586216000001,V,OGLE3/OGLE4
10.690404011000002,V,OGLE3/OGLE4
10.78505827,V,OGLE3/OGLE4
10.879712529,V,OGLE3/OGLE4
10.523204517,V,OGLE3/OGLE4
10.645495056,V,OGLE3/OGLE4
10.747058385,V,OGLE3/OGLE4
10.866585296,V,OGLE3/OGLE4
10.564658937,V,OGLE3/OGLE4
10.613022427,V,OGLE3/OGLE4
10.633058730000002,V,OGLE3/OGLE4
10.872803459,V,OGLE3/OGLE4
10.805094573,V,OGLE3/OGLE4
10.691094918000001,V,OGLE3/OGLE4
10.770549223000002,V,OGLE3/OGLE4
10.874876180000001,V,OGLE3/OGLE4
10.701458523000001,V,OGLE3/OGLE4
10.793349154000001,V,OGLE3/OGLE4
10.713894849,V,OGLE3/OGLE4
10.661385917,V,OGLE3/OGLE4
