 39484 5:38:02.23 -70:10:08.9  3.54162  721.69506  0.54920  14.710  15.476  16.159   0.686   0.767  13.521   0.175  14.367  14.909  15.403   0.511   0.543   0.133   3.639  FO
 39517 5:37:57.59 -70:11:17.4  2.11345  723.62625  0.32499  15.678  16.524  17.251   0.730   0.845  14.369   0.175  15.335  15.957  16.495   0.555   0.621   0.093   4.631  FO
 45198 5:37:39.31 -70:06:30.8  4.10981  723.68643  0.61382  14.303  15.424  16.394   0.974   1.121  12.565   0.176  13.960  14.857  15.638   0.799   0.897   0.452   4.626  BR
 45207 5:37:36.52 -70:08:51.2  3.17319  726.91744  0.50150  15.460  16.268  16.932   0.665   0.808  14.207   0.175  15.117  15.701  16.176   0.490   0.584   0.423   4.558  FU
 45218 5:37:25.74 -70:07:58.9  4.12086  726.39921  0.61499  15.105   9.999   9.999   9.999   9.999  99.999   0.175  14.762   9.999   9.999   9.999   9.775   0.422   4.628  FU
 50018 5:37:35.58 -70:05:55.0  1.89461  723.77808  0.27752  15.266  15.872  16.329   0.460   0.605  14.329   0.175  14.923  15.305  15.573   0.285   0.381   0.147   4.393  FO
 50024 5:37:26.01 -70:04:49.4  2.26483  725.78289  0.35504  15.117   9.999   9.999   9.999   9.999  99.999   0.175  14.774   9.999   9.999   9.999   9.775   0.124   5.028  FO
 54750 5:37:53.13 -70:01:55.2  4.18501  721.80660  0.62170  14.848  15.555  16.125   0.572   0.706  13.755   0.201  14.454  14.904  15.256   0.371   0.449   0.423   4.478  FU
 54775 5:37:44.15 -69:59:06.7  5.95035  730.24534  0.77454  14.472  15.308  16.004   0.699   0.834  13.179   0.202  14.078  14.657  15.136   0.498   0.577   0.380   4.684  FU
 59761 5:37:39.07 -69:58:34.2  2.54140  725.74344  0.40507  15.131  15.907  16.486   0.582   0.776  13.928   0.201  14.737  15.256  15.618   0.381   0.519   0.101   4.637  FO
 59772 5:37:42.35 -69:58:50.2  2.83088  722.22373  0.45192  15.716  16.604  17.343   0.742   0.887  14.341   0.201  15.322  15.952  16.474   0.541   0.629   0.361   4.489  FU
 59796 5:38:04.31 -69:57:05.0  1.99026  725.36842  0.29891  15.435  16.172  16.755   0.586   0.736  14.294   0.201  15.041  15.521  15.887   0.385   0.479   0.094   4.562  FO
 59808 5:37:28.93 -69:55:59.8  2.11230  725.95410  0.32476  15.641  16.556   9.999   9.999   0.914  14.225   0.202  15.247  15.905   9.999   9.999   0.656   0.071   4.154  FO
 64566 5:37:59.12 -69:55:27.4  2.47899  724.40307  0.39427  15.283  16.161  16.866   0.709   0.877  13.924   0.201  14.889  15.509  15.998   0.508   0.620   0.078   4.285  FO
 70123 5:37:46.41 -69:48:44.7 28.96683  702.71816  1.46190  18.272  19.473   9.999   9.999   1.200  16.413   0.201  17.878  18.822   9.999   9.999   0.943   9.999   9.999  FA
 76725 5:38:43.51 -70:38:45.6  7.52065  718.88661  0.87626  14.238  15.117  15.940   0.827   0.878  12.877   0.171  13.903  14.562  15.201   0.656   0.659   0.311   5.091  FU
 76749 5:38:33.25 -70:39:07.4  3.22290  723.36512  0.50825  15.296  16.014  16.576   0.564   0.717  14.185   0.171  14.961  15.460  15.837   0.393   0.498   0.471   4.500  FU
 76788 5:38:37.89 -70:38:08.9  2.66053  725.06886  0.42497  15.610  16.371  16.954   0.586   0.760  14.432   0.171  15.275  15.817  16.215   0.415   0.541   0.508   4.438  FU
 80220 5:38:39.96 -70:36:34.0  2.25894  722.99584  0.35390  15.284  16.011  16.608   0.600   0.726  14.159   0.171  14.949  15.457  15.870   0.429   0.507   0.074   5.596  FO
 80221 5:38:35.88 -70:36:29.4  2.39928  724.11178  0.38008  15.755  16.504  17.098   0.596   0.748  14.596   0.171  15.420  15.950  16.359   0.425   0.530   0.462   4.402  FU
 80229 5:38:27.88 -70:35:37.2  1.91583  724.15259  0.28236  15.608  16.429  17.083   0.657   0.820  14.337   0.171  15.273  15.875  16.344   0.486   0.601   0.165   4.582  FO
 80238 5:38:16.82 -70:34:56.9  3.53905  726.03978  0.54889  15.330  16.171  16.874   0.706   0.841  14.026   0.171  14.995  15.617  16.135   0.535   0.622   0.451   4.612  FU
 83619 5:38:42.49 -70:33:26.5  3.84576  722.05657  0.58498  15.264  16.148  16.871   0.727   0.883  13.895   0.171  14.929  15.593  16.132   0.556   0.664   0.442   4.553  FU
 83644 5:38:34.66 -70:33:11.1  1.95865  723.49153  0.29196  15.705  16.578  17.285   0.709   0.873  14.352   0.171  15.370  16.024  16.546   0.538   0.654   0.114   4.747  FO
 87165 5:38:46.04 -70:29:12.9  1.65139  725.22349  0.21785  15.127  16.089  16.857   0.772   0.961  13.637   0.193  14.748  15.464  16.024   0.579   0.714   0.197   4.536  BR
 87208 5:38:31.56 -70:27:52.6  3.19842  727.97048  0.50494  15.439  16.263  16.944   0.684   0.823  14.163   0.193  15.061  15.638  16.110   0.491   0.576   0.446   4.445  FU
