epoch,mag,errmag
2450467.7175,15.285,0.01
2450471.74802,14.94,0.011
2450478.63733,14.954,0.011
2450479.68957,15.131,0.011
2450480.73084,15.244,0.011
2450481.66242,15.347,0.007
2450484.63709,15.118,0.007
2450485.68927,14.999,0.013
2450490.64248,15.403,0.015
2450501.64149,15.328,0.008
2450515.74034,15.456,0.011
2450527.60385,15.185,0.01
2450538.64562,14.973,0.011
2450539.58588,15.079,0.014
2450541.65443,15.347,0.013
2450551.59285,15.132,0.008
2450552.57775,15.005,0.007
2450553.57504,15.146,0.011
2450559.6093,15.065,0.015
2450797.81318,15.567,0.01
2450821.70561,15.135,0.014
2450835.74359,15.208,0.01
2450845.71011,15.321,0.013
2450857.65772,15.495,0.011
2450859.62168,15.12,0.008
2450881.67804,15.143,0.008
2450894.60151,15.124,0.008
2451178.81303,15.463,0.015
2451182.76487,15.137,0.014
2451190.76997,15.25,0.01
2451193.72329,15.457,0.013
2451205.68228,15.501,0.008
2451212.63888,15.546,0.011
2451220.68349,15.34,0.013
2451229.60964,15.12,0.01
2451239.57888,15.543,0.013
2451247.6198,15.288,0.008
2451511.83259,15.174,0.014
2451515.80641,15.155,0.011
2451524.71542,15.151,0.006
2451543.78843,15.042,0.01
2451550.77827,15.052,0.014
2451572.764,15.301,0.01
2451573.80725,15.444,0.015
2451587.68324,15.575,0.008
2451612.6186,15.221,0.011
2451618.6257,15.148,0.011
2451624.59307,15.077,0.015
