epoch,mag,errmag
2450456.6438,14.428,0.008
2450456.71453,14.429,0.01
2450456.81344,14.416,0.007
2450457.56178,14.351,0.013
2450457.60571,14.34,0.014
2450457.66439,14.332,0.008
2450457.7816,14.32,0.015
2450458.63811,14.219,0.008
2450458.69681,14.22,0.008
2450459.55538,14.184,0.01
2450459.60155,14.18,0.014
2450459.66011,14.175,0.008
2450459.71955,14.18,0.011
2450459.76339,14.185,0.01
2450459.8072,14.186,0.01
2450461.56627,14.235,0.014
2450461.61008,14.245,0.011
2450461.66869,14.256,0.011
2450461.79686,14.258,0.008
2450462.56678,14.317,0.015
2450462.62542,14.323,0.014
2450465.67024,14.289,0.01
2450465.71792,14.293,0.014
2450465.80277,14.271,0.013
2450466.65401,14.175,0.014
2450466.72053,14.182,0.014
2450466.8055,14.175,0.01
2450467.76226,14.19,0.011
2450468.66434,14.221,0.006
2450468.79312,14.224,0.014
2450469.66521,14.277,0.007
2450469.80225,14.294,0.01
2450470.74,14.375,0.01
2450471.65106,14.413,0.013
2450471.78782,14.427,0.011
2450472.62562,14.362,0.008
2450472.6695,14.342,0.013
2450472.71331,14.349,0.007
2450472.77922,14.331,0.011
2450474.70519,14.192,0.011
2450475.59839,14.203,0.004
2450475.66453,14.211,0.01
2450475.71665,14.216,0.007
2450476.74936,14.27,0.007
2450477.53635,14.309,0.01
2450477.58762,14.293,0.008
2450477.73509,14.304,0.013
2450477.81597,14.32,0.014
2450477.86019,14.328,0.011
2450478.54247,14.381,0.011
2450478.76289,14.409,0.014
2450478.82185,14.395,0.015
2450479.54132,14.421,0.011
2450479.58522,14.415,0.013
2450479.76269,14.412,0.014
2450479.82285,14.401,0.011
2450480.57737,14.309,0.008
2450480.65854,14.308,0.013
2450480.75209,14.294,0.013
2450480.79623,14.283,0.011
2450481.56257,14.189,0.01
2450481.71096,14.193,0.013
2450481.75492,14.184,0.008
2450481.79888,14.177,0.011
2450482.78971,14.202,0.014
2450483.57807,14.224,0.004
2450483.62249,14.221,0.007
2450483.66639,14.229,0.008
2450483.71037,14.215,0.01
2450483.75427,14.219,0.007
2450483.79819,14.231,0.007
2450484.57673,14.267,0.008
2450484.68541,14.282,0.013
2450484.72979,14.271,0.008
2450484.77377,14.268,0.013
2450485.58038,14.322,0.007
2450485.72729,14.348,0.01
2450485.77144,14.363,0.01
2450486.57688,14.426,0.01
2450486.62242,14.418,0.01
2450486.71895,14.418,0.008
2450486.76415,14.424,0.008
2450487.60386,14.388,0.011
2450487.65206,14.37,0.015
2450487.69989,14.371,0.011
2450487.74403,14.353,0.011
2450487.7882,14.365,0.008
2450488.70217,14.243,0.01
2450488.74618,14.233,0.008
2450488.79025,14.238,0.007
2450489.69799,14.195,0.014
2450489.74191,14.181,0.015
2450489.78593,14.189,0.011
2450490.55832,14.206,0.007
2450490.69552,14.207,0.014
2450490.78363,14.21,0.015
2450491.58284,14.225,0.006
2450491.63465,14.224,0.008
2450491.67877,14.238,0.011
2450491.79219,14.254,0.011
2450492.56703,14.289,0.006
2450492.64136,14.293,0.01
2450493.57005,14.371,0.01
2450493.61455,14.372,0.01
2450494.56477,14.423,0.006
2450494.60868,14.433,0.013
2450494.69723,14.415,0.01
2450494.74224,14.425,0.01
2450495.56755,14.328,0.006
2450495.64121,14.321,0.01
2450496.56296,14.208,0.008
2450496.60771,14.208,0.008
2450496.65179,14.202,0.01
2450498.56204,14.199,0.011
2450498.60609,14.203,0.013
2450498.71983,14.208,0.013
2450498.76376,14.198,0.011
2450499.557,14.248,0.01
2450499.60268,14.258,0.013
2450499.74298,14.283,0.007
2450500.56994,14.32,0.008
2450500.59971,14.335,0.008
2450500.64458,14.339,0.008
2450500.69575,14.329,0.01
2450500.74018,14.348,0.007
2450501.56389,14.405,0.01
2450501.68264,14.417,0.008
2450507.55229,14.278,0.008
2450507.59752,14.291,0.004
2450509.54819,14.421,0.011
2450509.59526,14.423,0.007
2450509.64758,14.422,0.008
2450510.58982,14.333,0.008
2450510.63539,14.332,0.008
2450510.68298,14.303,0.008
2450512.58191,14.171,0.008
2450512.63029,14.187,0.007
2450512.70457,14.186,0.011
2450512.7501,14.185,0.015
2450513.56222,14.191,0.006
2450513.6078,14.191,0.011
2450513.69947,14.204,0.011
2450513.74672,14.225,0.014
2450514.57047,14.234,0.01
2450514.63953,14.238,0.011
2450514.68987,14.24,0.01
2450514.73673,14.248,0.014
2450515.56462,14.296,0.011
2450515.61937,14.324,0.011
2450515.66758,14.34,0.01
2450516.57091,14.395,0.007
2450516.62509,14.398,0.007
2450516.67208,14.411,0.01
2450516.71862,14.408,0.014
2450517.56891,14.399,0.013
2450517.61876,14.389,0.011
2450517.66874,14.387,0.01
2450517.71492,14.385,0.015
2450518.60625,14.296,0.008
2450518.65151,14.283,0.015
2450518.70058,14.282,0.01
2450519.61351,14.181,0.015
2450521.56317,14.212,0.007
2450521.67108,14.228,0.008
2450523.62467,14.361,0.011
2450523.67455,14.359,0.01
2450524.56455,14.421,0.011
2450524.61466,14.441,0.007
2450527.67701,14.201,0.007
