epoch,mag,errmag
2450457.70834,14.165,0.011
2450457.82561,14.14,0.011
2450458.68216,13.876,0.006
2450459.64547,13.679,0.01
2450459.85113,13.697,0.008
2450461.65407,13.728,0.01
2450461.78226,13.735,0.014
2450462.61083,13.909,0.011
2450465.8541,14.176,0.008
2450466.84957,13.883,0.01
2450468.77848,13.774,0.014
2450469.7874,13.726,0.013
2450472.82321,14.127,0.013
2450475.58374,13.684,0.007
2450477.80131,13.734,0.014
2450478.80699,13.883,0.013
2450479.80725,13.998,0.013
2450480.64372,14.087,0.014
2450481.54155,14.185,0.014
2450482.83422,14.052,0.011
2450483.53969,13.746,0.007
2450484.53787,13.72,0.008
2450485.54245,13.759,0.013
2450486.53461,13.785,0.01
2450487.56198,13.969,0.007
2450488.57437,14.052,0.008
2450489.53441,14.172,0.014
2450491.54467,13.801,0.007
2450493.53294,13.774,0.011
2450494.52791,13.763,0.013
2450495.52998,13.951,0.007
2450496.52518,14.04,0.011
2450498.5245,14.189,0.011
2450499.78691,13.799,0.011
2450501.54895,13.764,0.011
2450507.53511,13.97,0.007
2450509.5323,13.764,0.008
2450510.563,13.748,0.01
2450514.62118,14.199,0.013
2450516.52588,13.679,0.01
2450517.5254,13.746,0.007
2450518.56227,13.736,0.011
2450519.5153,13.86,0.013
2450519.66485,13.9,0.008
2450520.68153,14.007,0.007
2450521.65501,14.136,0.01
2450524.54827,13.682,0.014
2450526.60734,13.763,0.01
2450527.50635,13.797,0.007
2450530.54612,14.189,0.006
2450531.51914,14.133,0.006
2450535.52046,13.792,0.014
2450552.6194,13.95,0.011
2450554.53382,14.126,0.01
2450560.54921,13.905,0.013
2450561.4897,13.976,0.014
2450562.48178,14.091,0.007
2450573.48189,13.721,0.01
2450673.83649,13.752,0.007
2450689.86276,13.768,0.011
2450701.80607,14.173,0.011
2450704.84788,13.705,0.008
2450715.81343,13.908,0.014
2450722.82399,13.739,0.008
2450728.82174,13.693,0.013
2450729.87658,13.753,0.004
2450741.87222,14.059,0.01
2450744.87771,13.783,0.008
2450747.7864,13.745,0.01
2450748.74051,13.948,0.008
2450751.72373,14.206,0.008
2450759.79711,14.181,0.013
2450765.80012,14.002,0.01
2450769.7909,13.697,0.011
2450774.79745,14.089,0.015
2450778.7808,13.738,0.011
2450780.8516,13.816,0.015
2450781.78563,13.964,0.008
2450789.75314,13.952,0.011
2450792.79318,14.152,0.011
2450795.85486,13.763,0.013
2450796.85554,13.757,0.014
2450797.85304,13.946,0.013
2450798.85011,14.022,0.013
2450805.77544,13.935,0.011
2450817.82403,14.012,0.01
2450818.85996,13.663,0.008
2450819.85397,13.746,0.008
2450822.78215,13.983,0.014
2450827.65191,13.706,0.011
2450828.83648,13.75,0.014
2450830.80238,13.966,0.013
2450831.6476,14.053,0.007
2450832.72378,14.167,0.014
2450833.65659,14.142,0.013
2450834.77092,13.788,0.01
2450837.81592,13.77,0.011
2450839.60274,14.044,0.007
2450841.82471,14.141,0.008
2450842.78989,13.851,0.007
2450850.67896,13.964,0.008
2450854.73972,13.899,0.008
2450858.61232,14.042,0.013
2450860.75895,13.763,0.011
2450880.51107,14.023,0.007
2450887.59132,13.934,0.011
2450892.67528,13.67,0.008
2450895.49763,13.887,0.01
2450922.47971,14.172,0.013
2450928.49823,13.947,0.007
2450931.5207,14.206,0.007
2450934.49288,13.775,0.008
2450952.48695,13.823,0.008
2451065.91271,13.739,0.01
2451068.8041,14.073,0.015
2451069.79831,14.187,0.007
2451077.82366,14.176,0.007
2451088.84169,13.691,0.007
2451092.87424,14.011,0.014
2451126.68059,14.175,0.014
2451132.77793,13.937,0.013
2451136.81125,13.887,0.013
2451154.80592,13.749,0.015
2451157.79921,13.971,0.01
