HJD,mag,Band,Survey
-24375.651397000067,15.314269,B,DASCH
-24375.58539699996,14.973123999999999,B,DASCH
-24355.72149399994,15.902695000000001,B,DASCH
-24355.656493999995,16.145077,B,DASCH
-24354.654498000164,15.619101,B,DASCH
-24350.728509000037,14.389967,B,DASCH
-24350.663509000093,14.382929,B,DASCH
-24349.727511999663,14.596238,B,DASCH
-24349.629511999898,14.692419000000001,B,DASCH
-24348.697513999883,14.898804,B,DASCH
-24322.749520999845,14.974541,B,DASCH
-24150.354456999805,15.396497,B,DASCH
-24149.36145700002,14.925516,B,DASCH
-24073.47385900002,15.061036999999999,B,DASCH
-24047.48810000019,15.135964999999999,B,DASCH
-24022.667072999757,15.713920000000002,B,DASCH
-24002.644592999946,14.425638000000001,B,DASCH
-24002.64144100016,14.702017000000001,B,DASCH
-23988.664499999955,14.466120000000002,B,DASCH
-23944.704484999646,14.614386999999999,B,DASCH
-23939.757465000264,15.622717000000002,B,DASCH
-23754.41752799973,15.29205,B,DASCH
-23735.442638000008,15.831754,B,DASCH
-23725.517711999826,15.037820000000002,B,DASCH
-23698.70161300013,14.642129999999998,B,DASCH
-23697.452266999986,15.212223000000002,B,DASCH
-23696.422968000174,15.113979,B,DASCH
-23695.64497500006,15.368539000000002,B,DASCH
-23691.48201399995,15.905833,B,DASCH
-23690.519925000146,15.628399,B,DASCH
-23687.61505000014,15.708257000000001,B,DASCH
-23680.671114000026,15.325532999999998,B,DASCH
-23677.657141999807,15.919715,B,DASCH
-23676.663150999695,15.943787,B,DASCH
-23671.5541960001,14.72255,B,DASCH
-23669.6602119999,14.786126999999999,B,DASCH
-23664.55325500015,15.603817000000001,B,DASCH
-23658.668302000035,15.627776999999998,B,DASCH
-23655.66532499995,14.959209,B,DASCH
-23652.729964999948,14.487959,B,DASCH
-23589.745637000073,13.222876000000001,B,DASCH
-23587.747510999907,15.477381,B,DASCH
-23586.64550800016,15.368711,B,DASCH
-23585.713506000116,15.268137,B,DASCH
-23578.75148200011,15.579839000000002,B,DASCH
-23573.764460999984,15.649663,B,DASCH
-23572.7454570001,15.455979999999998,B,DASCH
-23558.7713779998,15.60147,B,DASCH
-23555.775358000305,14.776076000000002,B,DASCH
-23547.78030099999,15.731904,B,DASCH
-23545.783286000136,15.70416,B,DASCH
-23544.7862780001,15.602312,B,DASCH
-23543.78627000004,15.387341000000001,B,DASCH
-23434.386475000065,15.473370000000001,B,DASCH
-23432.370469999965,15.744104,B,DASCH
-23431.377468000166,15.94863,B,DASCH
-23429.368465000298,16.09753,B,DASCH
-23428.3884630003,15.518502,B,DASCH
-23427.372461999767,15.469063,B,DASCH
-23426.364461000077,15.355873,B,DASCH
-23422.36845800001,14.957813,B,DASCH
-23408.362379000057,14.844257,B,DASCH
-23406.38965800032,15.445059,B,DASCH
-23406.384470999707,15.296043,B,DASCH
-23405.400473000016,15.406157,B,DASCH
-23394.424536000006,14.759936999999999,B,DASCH
-23394.375506000128,14.717042999999999,B,DASCH
-23392.394684999716,15.262362,B,DASCH
-23373.48161600018,15.886254999999998,B,DASCH
-23370.462840999942,13.688492000000002,B,DASCH
-23364.4376790002,15.087143,B,DASCH
-23342.517012000084,16.08079,B,DASCH
-23337.53867499996,13.462887,B,DASCH
-23320.559066999704,15.203454,B,DASCH
-23319.523236999754,15.262326999999999,B,DASCH
-23315.617113000248,15.916917000000002,B,DASCH
-23313.43113199994,15.767710000000001,B,DASCH
-23312.545531999785,15.43738,B,DASCH
-23310.609157999977,15.31768,B,DASCH
-23310.454158999957,15.197773999999999,B,DASCH
-23289.665329999756,15.468256,B,DASCH
-23289.591554000042,15.52111,B,DASCH
-23286.526352999732,15.817495000000001,B,DASCH
-23282.582668999676,15.755472,B,DASCH
-23279.630008000415,14.343254,B,DASCH
-23236.67829499999,14.726802,B,DASCH
-23205.760084999725,14.963085000000001,B,DASCH
-23072.39348300034,15.360735,B,DASCH
-23071.363479999825,15.681439000000001,B,DASCH
-23069.355475000106,16.102749,B,DASCH
-23068.34547299985,15.612964000000002,B,DASCH
-23054.3834569999,15.833259,B,DASCH
-23053.37645700015,15.936781,B,DASCH
-23053.3704570001,16.010393,B,DASCH
-23051.38845800003,15.205964999999999,B,DASCH
-23050.38145800028,15.315543,B,DASCH
-23049.397458999883,14.556589,B,DASCH
-23044.421465000138,15.545264999999999,B,DASCH
-23043.38046699995,15.641294,B,DASCH
-23039.398474000394,15.801648000000002,B,DASCH
-23039.396474000067,16.031157999999998,B,DASCH
-23022.38453499973,15.401736999999999,B,DASCH
-23019.44554999983,14.568315,B,DASCH
-23011.43659499986,16.067992999999998,B,DASCH
-23010.43160100002,15.954004999999999,B,DASCH
-22988.545764000155,14.360130999999999,B,DASCH
-22960.608016999904,14.440068,B,DASCH
-22959.61302699987,14.9183,B,DASCH
-22959.523422,15.011251000000001,B,DASCH
-22958.61303600017,15.370441,B,DASCH
-22949.46012099972,15.087679000000001,B,DASCH
-22940.646199000068,15.890893,B,DASCH
-22929.674289999995,14.939360999999998,B,DASCH
-22870.706684999634,15.215674,B,DASCH
-22689.422456999775,15.491219000000001,B,DASCH
-22600.549261999782,14.355955999999999,B,DASCH
-22586.660097999964,14.816752,B,DASCH
-22586.62609900022,14.846737,B,DASCH
-22578.68816999998,15.718176999999999,B,DASCH
-22578.656171000097,15.610215,B,DASCH
-22578.626154999714,14.634422,B,DASCH
-22577.728179000318,15.937347,B,DASCH
-22577.609503000043,15.841560000000001,B,DASCH
-22577.544404000044,15.966284,B,DASCH
-22574.693208000157,15.373157,B,DASCH
-22574.628109000158,15.591873999999999,B,DASCH
-22574.563009999692,15.412075,B,DASCH
-22574.49791100016,15.534145,B,DASCH
-22573.704214000143,15.388514,B,DASCH
-22573.671213999856,15.408032999999998,B,DASCH
-22573.63721399987,15.482385,B,DASCH
-22573.55221500015,15.343715,B,DASCH
-22573.44521600008,15.416454000000002,B,DASCH
-22556.69194300007,13.810951000000001,B,DASCH
-22556.6903479998,13.746482,B,DASCH
-22554.689361999743,14.612720000000001,B,DASCH
-22550.727388000116,15.707557000000001,B,DASCH
-22550.69338800013,15.586761,B,DASCH
-22550.661388999783,15.699123,B,DASCH
-22550.619388999883,15.639057999999999,B,DASCH
-22550.566389000043,15.602305,B,DASCH
-22550.53838900011,15.540909,B,DASCH
-22545.637418999802,15.300248000000002,B,DASCH
-22543.724429999944,15.223381,B,DASCH
-22543.691430000123,15.083104999999998,B,DASCH
-22543.64642999973,15.132645000000002,B,DASCH
-22543.61342999991,15.060267999999999,B,DASCH
-22543.46743099997,14.928308,B,DASCH
-22542.72343500005,14.496266,B,DASCH
-22542.689435000066,14.69006,B,DASCH
-22542.689435000066,13.98851,B,DASCH
-22542.65143600013,14.46071,B,DASCH
-22542.618435999844,14.476248000000002,B,DASCH
-22542.56443599984,14.601307,B,DASCH
-22542.53143600002,14.632593,B,DASCH
-22542.498436000198,14.504398000000002,B,DASCH
-22542.465436999686,14.595088,B,DASCH
-22526.696444999892,14.594713,B,DASCH
-22525.727572999895,14.680876000000001,B,DASCH
-22524.694986999966,15.506047,B,DASCH
-22522.663747999817,15.437069000000001,B,DASCH
-22521.699029999785,15.794889999999999,B,DASCH
-22515.64616899984,15.406732,B,DASCH
-22483.732485000044,14.634691,B,DASCH
-22481.746919000056,14.524009,B,DASCH
-22452.7823069999,14.857733999999999,B,DASCH
-22341.3904810003,15.192042,B,DASCH
-22335.38546800008,15.318005,B,DASCH
-22329.425460000057,15.542557,B,DASCH
-22318.439460000023,15.832204,B,DASCH
-22318.405460000038,15.812743,B,DASCH
-22308.411475999746,14.854004999999999,B,DASCH
-22305.408483000007,15.413181,B,DASCH
-22305.37248300016,15.588546,B,DASCH
-22299.443502999842,15.444165,B,DASCH
-22281.60337899998,14.377701,B,DASCH
-22281.53827999998,14.079406,B,DASCH
-22281.47318099998,14.602435999999999,B,DASCH
-22281.41812499985,14.103094,B,DASCH
-22281.4073900003,14.278359,B,DASCH
-22277.61917400034,15.127920000000001,B,DASCH
-22277.554074999876,15.239997,B,DASCH
-22277.423876999877,15.423039000000001,B,DASCH
-22276.60252000019,14.374868,B,DASCH
-22276.537420999724,14.624602,B,DASCH
-22276.47232200019,14.430813,B,DASCH
-22276.407222999725,15.488282,B,DASCH
-22273.54064399982,15.96594,B,DASCH
-22272.40570600005,15.978463,B,DASCH
-22271.535658000037,15.700935000000001,B,DASCH
-22253.51780299982,14.585664999999999,B,DASCH
-22250.71111300029,14.889926999999998,B,DASCH
-22250.646013999823,14.809163,B,DASCH
-22250.590828999877,15.170757,B,DASCH
