epoch,mag,errmag
2450471.70195,14.586,0.013
2450478.61468,13.722,0.015
2450479.66485,13.819,0.013
2450480.70818,13.925,0.013
2450481.68043,14.007,0.013
2450484.65508,14.36,0.008
2450485.66661,14.484,0.01
2450490.66046,14.295,0.011
2450493.66646,13.675,0.01
2450498.65381,14.121,0.013
2450501.61879,14.47,0.011
2450515.71771,14.285,0.013
2450527.58121,13.878,0.01
2450537.57645,14.309,0.015
2450538.62297,14.287,0.01
2450539.56326,13.75,0.014
2450541.63176,13.718,0.013
2450551.57017,14.559,0.008
2450552.55509,14.407,0.006
2450553.59306,14.276,0.01
2450559.58668,13.882,0.013
2450730.78748,13.538,0.007
2450797.78979,13.92,0.011
2450821.68224,14.437,0.01
2450835.72021,14.583,0.013
2450845.68438,13.966,0.014
2450859.59833,13.794,0.011
2450881.65472,14.454,0.013
2450890.60844,13.742,0.011
2450894.57816,14.143,0.01
2451130.7369,13.966,0.014
2451178.78965,14.013,0.02
2451182.74152,14.473,0.015
2451188.77658,14.096,0.008
2451190.7466,13.667,0.011
2451193.69993,13.927,0.008
2451205.65887,13.397,0.015
2451212.61552,14.22,0.01
2451220.66012,13.932,0.014
2451229.58629,14.389,0.01
2451239.5516,13.754,0.011
2451247.59645,14.588,0.013
2451291.50226,14.204,0.018
2451496.73292,14.121,0.006
2451511.80917,14.02,0.013
2451515.78302,14.489,0.01
2451524.69201,13.777,0.01
2451543.76503,14.063,0.015
2451550.7549,14.399,0.015
2451572.73978,13.8,0.013
2451573.75871,13.904,0.017
2451587.70824,13.714,0.013
2451612.63733,14.582,0.014
2451619.65482,13.76,0.011
2451622.61446,14.02,0.014
2451624.61177,14.254,0.013
2451631.59363,14.298,0.014
