OGLE-LMC-CEP-0090  15.120 15.853   4.0004529 0.0000074  2180.74078  0.510  0.427 4.656  0.223 3.051
OGLE-LMC-CEP-0091  15.318 16.170   3.5989663 0.0000058  2168.78211  0.422  0.432 4.642  0.219 3.011
OGLE-LMC-CEP-0094  15.994 17.029   3.2128099 0.0000097  2163.62732  0.324  0.379 4.597  0.168 2.927
OGLE-LMC-CEP-0095  15.482 16.148   2.7749610 0.0000035  2169.97017  0.455  0.468 4.455  0.250 2.746
OGLE-LMC-CEP-0100  15.473 16.196   3.2094110 0.0000057  2164.37628  0.512  0.416 4.512  0.220 2.764
OGLE-LMC-CEP-0101  14.670 15.773   8.1913472 0.0003690  2165.82770  0.042  0.000   -    0.000   -  
OGLE-LMC-CEP-0103  14.008 14.674   7.1573841 0.0000241  2166.69964  0.374  0.291 4.733  0.091 2.727
OGLE-LMC-CEP-0104  15.447 16.201   3.1095375 0.0000050  2182.90767  0.472  0.428 4.493  0.226 2.771
OGLE-LMC-CEP-0105  14.944 15.737   4.7407623 0.0000459  2167.84857  0.446  0.429 4.845  0.164 3.543
OGLE-LMC-CEP-0106  15.450 16.234   3.2675159 0.0000056  2165.91993  0.468  0.449 4.614  0.243 2.972
OGLE-LMC-CEP-0107  13.941 14.755   8.7388601 0.0000374  2165.09281  0.509  0.290 5.231  0.217 3.522
OGLE-LMC-CEP-0108  15.275 15.953   3.7476054 0.0000149  2170.15750  0.272  0.351 4.652  0.136 3.090
OGLE-LMC-CEP-0109  15.791 16.642   2.8534088 0.0000025  2164.10160  0.663  0.510 4.475  0.302 2.706
OGLE-LMC-CEP-0111  16.256 16.969   1.6128666 0.0000010  2165.15615  0.620  0.490 4.210  0.302 2.249
OGLE-LMC-CEP-0114  13.786 14.589  10.3718290 0.0000506  2161.18816  0.355  0.165 4.773  0.085 4.520
OGLE-LMC-CEP-0116  15.365 16.110   3.4150540 0.0000056  2165.84397  0.486  0.467 4.596  0.262 3.006
OGLE-LMC-CEP-0122  16.630 17.289   1.2929977 0.0000009  2171.80017  0.434  0.451 4.164  0.262 2.137
OGLE-LMC-CEP-0123  14.909 15.948   6.8885059 0.0000199  2160.16044  0.485  0.353 5.341  0.203 3.633
OGLE-LMC-CEP-0126  14.376 15.255   7.6991321 0.0001079  2169.17028  0.190  0.238 5.712  0.020 4.432
OGLE-LMC-CEP-0128  15.222 16.025   3.8457290 0.0000105  2166.10279  0.449  0.429 4.684  0.217 3.115
OGLE-LMC-CEP-0130  16.532 17.891   3.4120650 0.0000073  2164.82315  0.486  0.445 4.609  0.231 2.939
OGLE-LMC-CEP-0131  15.637 16.462   2.8695011 0.0000049  2171.05724  0.397  0.434 4.582  0.211 2.888
OGLE-LMC-CEP-0132  15.710 16.603   3.0610513 0.0000073  2163.39297  0.359  0.408 4.551  0.199 2.891
OGLE-LMC-CEP-0137     -   13.351  27.1006309 0.0007566      -         -      -     -      -     -  
OGLE-LMC-CEP-0138  15.934 16.753   2.3754249 0.0000031  2171.42367  0.413  0.458 4.454  0.232 2.724
OGLE-LMC-CEP-0139  14.145 15.056   9.7737705 0.0000640  2157.21554  0.439  0.093 5.408  0.141 0.846
OGLE-LMC-CEP-0140  15.710 16.407   2.4202557 0.0000025  2171.21001  0.447  0.470 4.441  0.245 2.707
OGLE-LMC-CEP-0142  15.325 16.145   3.7719914 0.0000094  2163.60524  0.372  0.406 4.698  0.182 3.101
OGLE-LMC-CEP-0147     -   13.478  22.2630923 0.0037557      -         -      -     -      -     -  
OGLE-LMC-CEP-0149  15.657 16.520   3.0792263 0.0000064  2165.84384  0.379  0.417 4.593  0.195 2.875
OGLE-LMC-CEP-0151  14.173 15.149   9.3641630 0.0000938  2167.01345  0.200  0.206 6.182  0.041 4.791
OGLE-LMC-CEP-0152  15.082 16.044   3.6938683 0.0000176  2164.39112  0.178  0.319 4.655  0.110 3.035
OGLE-LMC-CEP-0154  15.190 16.005   4.1646510 0.0000064  2167.76141  0.466  0.432 4.825  0.196 3.324
OGLE-LMC-CEP-0155  13.812 14.606   9.8506542 0.0000902  2164.87942  0.384  0.201 5.028  0.110 3.769
OGLE-LMC-CEP-0158  14.544 15.487   7.2297353 0.0000188  2161.12827  0.537  0.387 5.080  0.204 3.132
OGLE-LMC-CEP-0159  14.728 15.514   5.4639428 0.0000209  2162.97835  0.377  0.396 4.860  0.160 3.386
OGLE-LMC-CEP-0160  14.767 15.782   3.2012856 0.0000053  2164.95978  0.255  0.486 4.473  0.290 2.720
OGLE-LMC-CEP-0161  15.706 16.332   2.1149447 0.0000020  2170.21408  0.670  0.495 4.249  0.302 2.424
