epoch,mag,errmag
2450728.8752,14.01,0.011
2450729.8581,14.094,0.007
2450739.84279,14.119,0.007
2450742.85508,14.022,0.008
2450744.82794,14.259,0.008
2450745.83749,14.329,0.013
2450746.87555,14.049,0.011
2450747.69494,13.795,0.013
2450748.67233,13.9,0.004
2450750.75262,14.113,0.006
2450751.78311,14.27,0.007
2450752.84451,14.333,0.007
2450755.75663,13.928,0.006
2450759.7532,14.338,0.01
2450760.80771,13.973,0.007
2450762.82844,13.949,0.011
2450769.84083,13.958,0.013
2450773.82824,14.294,0.007
2450776.85424,13.989,0.006
2450779.79517,14.288,0.01
2450781.81171,13.819,0.006
2450788.82263,13.785,0.014
2450795.79408,13.79,0.008
2450798.78935,14.081,0.011
2450816.84502,13.811,0.014
2450817.78749,13.93,0.013
2450824.73488,13.93,0.01
2450826.73154,14.14,0.015
2450828.73702,14.316,0.008
2450829.80155,13.936,0.006
2450831.62661,13.924,0.006
2450832.74951,14.045,0.008
2450833.6823,14.149,0.014
2450834.73533,14.283,0.013
2450835.70251,14.306,0.008
2450837.65285,13.821,0.014
2450839.65149,14.041,0.007
2450840.7719,14.18,0.008
2450842.68399,14.317,0.008
2450845.6568,13.965,0.01
2450850.72784,13.847,0.004
2450854.76529,14.203,0.006
2450855.74991,14.299,0.008
2450856.65726,14.258,0.007
2450857.71553,13.795,0.007
2450858.66938,13.863,0.007
2450859.74529,13.989,0.007
2450860.68646,14.054,0.01
2450867.60959,14.075,0.004
2450874.72116,14.081,0.008
2450876.59029,14.32,0.013
2450876.69048,14.331,0.011
2450880.61396,14.012,0.015
2450892.57608,13.797,0.007
2450895.61946,14.129,0.011
2450898.59712,14.029,0.015
2450922.51669,14.047,0.007
2450933.54084,13.799,0.007
2450951.49881,14.242,0.011
2451072.88862,13.927,0.008
2451079.83144,13.944,0.013
2451080.87568,14.052,0.007
2451081.82506,14.146,0.014
2451083.89332,14.316,0.011
2451086.82723,13.944,0.011
2451090.81208,14.312,0.008
2451092.86859,13.838,0.013
2451102.87421,14.19,0.01
2451107.85721,13.988,0.014
2451116.81459,14.216,0.01
2451126.71633,13.793,0.013
2451129.81508,14.098,0.008
2451131.81975,14.339,0.008
2451132.8116,14.106,0.007
2451142.76199,14.033,0.015
2451151.85662,14.281,0.01
2451153.72824,13.981,0.013
2451159.74952,14.303,0.007
2451161.81457,13.843,0.015
2451165.81141,14.3,0.015
2451167.74611,13.856,0.008
2451168.75713,13.837,0.007
2451171.72497,14.191,0.011
2451174.85279,13.799,0.011
2451178.77075,14.213,0.008
2451181.7363,13.794,0.008
2451183.76985,13.988,0.013
2451185.81878,14.235,0.01
2451187.77202,14.188,0.007
2451189.76041,13.879,0.013
2451191.82529,14.102,0.01
2451192.85604,14.243,0.013
2451194.67555,14.196,0.01
2451196.69245,13.892,0.006
2451202.69782,13.795,0.013
2451207.69073,14.332,0.011
2451211.68304,14.026,0.015
2451213.71729,14.267,0.015
2451215.55131,14.1,0.007
2451217.68696,13.943,0.011
2451219.62422,14.131,0.008
2451221.59487,14.317,0.008
2451223.68503,13.816,0.007
2451224.56465,13.923,0.004
2451226.57294,14.133,0.006
2451227.57999,14.278,0.006
2451235.57078,14.308,0.008
2451238.65669,13.969,0.01
2451241.55689,14.291,0.011
2451242.6303,14.296,0.014
2451243.57402,13.853,0.013
2451245.54258,13.96,0.011
2451247.67699,14.218,0.011
2451248.6447,14.298,0.008
2451254.55315,14.207,0.013
2451255.58615,14.299,0.011
2451257.61777,13.791,0.006
2451266.59602,13.998,0.007
2451267.61209,14.085,0.008
2451275.53452,14.235,0.006
2451278.51716,13.784,0.014
2451290.49493,14.321,0.007
2451296.58584,14.269,0.011
2451300.53192,13.937,0.013
2451305.51034,13.909,0.011
2451308.54133,14.042,0.011
2451315.50054,14.055,0.006
2451318.48324,14.281,0.011
2451320.52543,13.842,0.008
2451331.48788,14.324,0.007
2451431.83119,13.975,0.011
2451435.87566,14.233,0.007
2451437.86835,13.871,0.01
2451440.90734,14.221,0.008
2451448.86317,14.329,0.006
2451459.88889,14.027,0.006
2451461.73527,14.238,0.007
2451471.74568,13.806,0.014
2451475.84014,14.276,0.008
2451478.76484,13.813,0.015
2451481.82706,14.16,0.006
2451484.83137,13.878,0.008
2451487.82415,14.052,0.01
2451491.76289,13.873,0.008
2451493.70485,13.958,0.013
2451495.74825,14.189,0.013
2451498.66941,13.854,0.011
2451500.80994,13.993,0.006
2451503.70024,14.298,0.006
2451505.80708,13.792,0.015
2451507.70311,13.987,0.004
2451508.8197,14.079,0.013
2451509.68126,14.202,0.015
2451511.72938,14.225,0.007
2451512.76341,13.791,0.01
2451516.82367,14.246,0.014
2451518.69553,14.185,0.011
2451520.72085,13.879,0.007
2451522.72152,14.099,0.006
2451523.7217,14.245,0.007
2451525.69763,14.137,0.007
2451527.76298,13.921,0.015
2451528.68892,14.016,0.007
2451529.81436,14.134,0.007
2451531.7063,14.329,0.008
2451538.66342,14.32,0.007
2451541.61927,13.927,0.013
2451542.77361,14.042,0.014
2451544.67592,14.262,0.008
2451546.70059,13.973,0.006
2451547.70225,13.812,0.013
2451548.67938,13.948,0.004
2451551.70873,14.274,0.011
2451552.64168,14.318,0.008
2451554.64399,13.83,0.013
2451555.66845,13.951,0.01
2451556.6426,14.051,0.007
2451560.63431,13.897,0.007
2451564.55345,14.168,0.007
2451568.63013,13.84,0.011
2451571.63979,14.207,0.014
2451575.65419,13.859,0.007
2451578.69451,14.211,0.014
2451580.70529,14.219,0.013
2451582.6398,13.869,0.015
2451585.63058,14.226,0.007
2451588.63384,13.792,0.008
2451595.59094,13.79,0.01
2451599.6569,14.254,0.011
2451602.68339,13.802,0.007
2451604.61497,14.023,0.008
2451606.57197,14.259,0.006
2451609.52818,13.782,0.008
2451611.6032,14.038,0.01
2451613.58358,14.27,0.011
2451616.51228,13.797,0.006
2451618.6615,14.039,0.011
2451619.55154,14.128,0.013
2451621.54767,14.297,0.011
2451623.64484,13.836,0.006
2451625.62588,14.043,0.011
2451627.59615,14.298,0.006
2451628.53608,14.306,0.013
2451631.50552,13.954,0.01
2451633.62097,14.189,0.013
2451635.50397,14.294,0.013
2451653.49838,14.08,0.007
2451655.54231,14.318,0.015
2451660.52662,14.089,0.008
2451662.53396,14.327,0.011
2451664.55705,13.789,0.008
2451669.52696,14.322,0.006
2451672.49966,13.9,0.013
2451687.49731,14.026,0.006
2451695.48264,14.152,0.01
2451766.8754,14.198,0.01
2451773.91938,14.125,0.01
2451788.85905,13.805,0.01
2451804.85427,14.054,0.007
2451811.87483,14.061,0.011
2451815.85101,13.827,0.007
2451822.73272,13.843,0.007
2451829.88197,13.791,0.011
2451844.78981,13.904,0.013
2451850.77119,13.79,0.004
2451858.77532,13.93,0.007
2451860.81766,14.149,0.006
2451863.79079,13.999,0.008
2451866.74148,14.035,0.01
2451868.72258,14.28,0.014
2451870.84361,13.905,0.008
2451874.7644,14.169,0.015
