  2450739.86730   15.931    0.013
  2450744.77560   15.724    0.013
  2450745.86025   15.939    0.013
  2450746.84610   15.497    0.021
  2450747.74155   15.719    0.015
  2450750.80648   15.729    0.011
  2450751.80732   15.921    0.013
  2450752.86513   15.505    0.013
  2450755.78935   15.484    0.008
  2450759.71519   15.722    0.017
  2450766.84614   15.914    0.011
  2450773.80173   15.505    0.008
  2450776.82694   15.506    0.011
  2450780.78732   15.726    0.007
  2450782.81594   15.495    0.014
  2450788.84345   15.508    0.017
  2450792.75350   15.721    0.013
  2450795.83882   15.741    0.013
  2450798.76313   15.728    0.015
  2450817.76147   15.927    0.018
  2450819.83818   15.755    0.011
  2450824.70884   15.497    0.014
  2450827.69833   15.481    0.013
  2450828.75795   15.731    0.014
  2450829.70557   15.919    0.014
  2450830.76367   15.494    0.010
  2450831.60094   15.702    0.014
  2450832.77054   15.935    0.014
  2450834.69411   15.721    0.020
  2450835.81190   15.932    0.013
  2450837.67379   15.719    0.018
  2450842.75117   15.500    0.010
  2450846.77805   15.752    0.011
  2450850.76891   15.926    0.011
  2450855.71584   15.723    0.011
  2450856.67785   15.931    0.014
  2450857.73652   15.493    0.011
  2450858.69966   15.714    0.020
  2450859.76641   15.947    0.015
  2450860.65939   15.481    0.013
  2450876.61155   15.718    0.013
  2450878.70156   15.472    0.008
  2450880.63590   15.907    0.014
  2450887.68014   15.478    0.008
  2450892.55052   15.907    0.018
  2450893.71677   15.501    0.008
  2450896.51851   15.500    0.015
  2450900.57199   15.721    0.015
  2450919.57386   15.901    0.014
  2450931.58487   15.930    0.013
  2450934.53370   15.901    0.014
  2450950.52686   15.483    0.013
  2451079.81775   15.566    0.013
  2451080.82139   15.812    0.013
  2451084.82732   15.953    0.020
  2451086.85537   15.822    0.015
  2451092.83342   15.809    0.018
  2451106.77439   15.573    0.020
  2451108.79540   15.963    0.015
  2451126.77246   15.951    0.015
  2451129.83677   15.949    0.014
  2451131.84272   15.805    0.011
  2451132.83234   15.952    0.011
  2451138.85583   15.953    0.017
  2451142.78252   15.578    0.011
  2451152.74017   15.800    0.010
  2451154.75572   15.556    0.015
  2451155.71197   15.777    0.013
  2451157.76585   15.578    0.010
  2451159.77158   15.958    0.011
  2451161.83556   15.818    0.021
