  2450729.85493   14.674    0.008
  2450739.83962   14.790    0.008
  2450742.85191   14.769    0.015
  2450744.82477   14.662    0.014
  2450745.83432   14.726    0.015
  2450746.87238   14.859    0.010
  2450747.69177   14.716    0.015
  2450748.66916   14.669    0.008
  2450750.74945   14.714    0.010
  2450751.77994   14.677    0.007
  2450752.84134   14.851    0.008
  2450755.75346   14.824    0.008
  2450759.75003   14.805    0.013
  2450760.80454   14.632    0.010
  2450762.82527   14.800    0.008
  2450773.82507   14.731    0.011
  2450776.85107   14.719    0.008
  2450779.79200   14.685    0.013
  2450788.81946   14.654    0.015
  2450790.83420   14.800    0.017
  2450795.79091   14.789    0.013
  2450798.78618   14.750    0.013
  2450816.84185   14.631    0.011
  2450817.78432   14.806    0.014
  2450824.73171   14.849    0.013
  2450828.73385   14.724    0.011
  2450829.79838   14.713    0.010
  2450831.62344   14.756    0.008
  2450832.74634   14.688    0.015
  2450835.69934   14.662    0.010
  2450837.64968   14.804    0.015
  2450839.64832   14.808    0.008
  2450840.76873   14.785    0.010
  2450842.68082   14.784    0.008
  2450845.65363   14.783    0.010
  2450850.72467   14.684    0.013
  2450854.76212   14.709    0.008
  2450855.74674   14.847    0.007
  2450856.65409   14.735    0.007
  2450857.71236   14.684    0.010
  2450858.66621   14.833    0.014
  2450859.74212   14.745    0.010
  2450860.68329   14.651    0.014
  2450867.60642   14.780    0.007
  2450874.71799   14.837    0.010
  2450876.58712   14.718    0.014
  2450876.68731   14.742    0.010
  2450880.61079   14.849    0.015
  2450892.57291   14.817    0.010
  2450895.61629   14.800    0.011
  2450898.59395   14.786    0.015
  2450933.53767   14.855    0.010
  2450951.49564   14.737    0.011
  2451072.88545   14.728    0.011
  2451079.82827   14.830    0.014
  2451080.87251   14.754    0.010
  2451083.89015   14.777    0.014
  2451086.82406   14.825    0.014
  2451089.78711   14.856    0.015
  2451090.80891   14.639    0.013
  2451092.86542   14.850    0.017
  2451102.87104   14.709    0.011
  2451116.81142   14.760    0.017
  2451129.81191   14.844    0.013
  2451131.81658   14.677    0.010
  2451132.80843   14.845    0.010
  2451134.82150   14.647    0.017
  2451142.75882   14.834    0.010
  2451151.85345   14.855    0.014
  2451153.72507   14.683    0.014
  2451159.74635   14.635    0.008
  2451165.80824   14.621    0.014
  2451167.74294   14.839    0.013
  2451168.75396   14.642    0.010
  2451171.72180   14.663    0.017
  2451174.84962   14.660    0.010
  2451181.73313   14.678    0.017
  2451183.76668   14.755    0.010
  2451185.81561   14.842    0.011
  2451187.76885   14.621    0.014
  2451189.75724   14.797    0.011
  2451191.82212   14.819    0.017
  2451192.85287   14.792    0.010
  2451194.67238   14.760    0.015
  2451196.68928   14.652    0.006
  2451202.69465   14.725    0.015
  2451207.68756   14.843    0.010
  2451211.67987   14.785    0.015
  2451215.54814   14.626    0.008
  2451217.68379   14.817    0.008
  2451219.62105   14.785    0.010
  2451221.59170   14.670    0.010
  2451223.68186   14.863    0.013
  2451224.56148   14.693    0.006
  2451226.56977   14.862    0.010
  2451227.57682   14.725    0.007
  2451232.66644   14.864    0.013
  2451235.56761   14.814    0.011
  2451238.65352   14.830    0.010
  2451241.55372   14.818    0.011
  2451242.62713   14.815    0.013
  2451243.57085   14.630    0.014
  2451245.53941   14.855    0.007
  2451247.67382   14.784    0.011
  2451248.64153   14.837    0.007
  2451255.58298   14.723    0.011
  2451257.61460   14.854    0.008
  2451266.59285   14.833    0.011
  2451267.60892   14.808    0.014
  2451275.53135   14.720    0.010
  2451278.51399   14.714    0.013
  2451281.52204   14.700    0.015
  2451290.49176   14.647    0.013
  2451296.58267   14.631    0.010
  2451300.52875   14.767    0.015
  2451305.50717   14.693    0.011
  2451308.53816   14.728    0.007
  2451315.49737   14.660    0.010
  2451318.48007   14.637    0.013
  2451320.52226   14.816    0.011
  2451331.48471   14.735    0.010
  2451431.82802   14.825    0.013
  2451435.87249   14.799    0.007
  2451437.86518   14.799    0.008
  2451440.90417   14.785    0.008
  2451448.86000   14.680    0.006
  2451459.88572   14.794    0.008
  2451461.73210   14.629    0.007
  2451471.74251   14.736    0.014
  2451475.83697   14.857    0.013
  2451478.76167   14.852    0.011
  2451481.82389   14.843    0.006
  2451484.82820   14.835    0.008
  2451487.82098   14.799    0.011
  2451491.75972   14.818    0.008
  2451493.70168   14.765    0.010
  2451495.74508   14.651    0.011
  2451498.66624   14.692    0.013
  2451500.80677   14.854    0.008
  2451503.69707   14.828    0.010
  2451505.80391   14.683    0.014
  2451507.69994   14.775    0.007
  2451508.81653   14.665    0.015
  2451509.67809   14.800    0.011
  2451510.64355   14.788    0.011
  2451511.72621   14.636    0.007
  2451512.76024   14.799    0.010
  2451516.82050   14.792    0.017
  2451518.69236   14.769    0.011
  2451520.71768   14.629    0.007
  2451522.71835   14.851    0.007
  2451523.71853   14.663    0.007
  2451525.69446   14.865    0.008
  2451527.75981   14.708    0.013
  2451528.68575   14.848    0.008
  2451529.81119   14.700    0.013
  2451531.70313   14.842    0.008
  2451538.66025   14.800    0.010
  2451541.61610   14.829    0.008
  2451544.67275   14.844    0.013
  2451546.69742   14.774    0.010
  2451547.69908   14.855    0.015
  2451548.67621   14.679    0.008
  2451552.63851   14.698    0.007
  2451553.66220   14.854    0.017
  2451554.64082   14.737    0.015
  2451555.66528   14.696    0.011
  2451556.63943   14.840    0.010
  2451560.63114   14.785    0.007
  2451564.55028   14.625    0.008
  2451568.62696   14.785    0.011
  2451571.63662   14.760    0.017
  2451575.65102   14.854    0.008
  2451578.69134   14.856    0.014
  2451582.63663   14.733    0.017
  2451585.62741   14.792    0.006
