  2450822.74157   15.666    0.013
  2450826.83517   15.918    0.020
  2450844.78816   15.969    0.008
  2450875.66192   15.815    0.014
  2450897.67937   15.985    0.010
  2451090.87836   16.417    0.013
  2451131.76813   16.192    0.014
  2451144.79523   15.722    0.017
  2451153.76979   16.303    0.011
  2451157.83940   16.390    0.013
  2451159.81482   16.064    0.013
  2451166.84854   16.027    0.013
  2451194.77935   15.891    0.010
  2451205.76968   16.081    0.011
  2451207.78832   16.380    0.014
  2451212.77023   16.014    0.010
  2451214.79587   16.408    0.014
  2451216.75572   16.190    0.013
  2451221.75158   16.442    0.008
  2451239.64768   16.355    0.010
  2451248.59297   16.156    0.010
  2451258.57523   15.936    0.013
  2451291.62548   16.305    0.011
  2451477.81685   15.954    0.013
  2451495.84371   16.043    0.010
  2451498.84200   15.845    0.007
  2451521.83287   16.347    0.014
  2451545.86231   16.211    0.010
  2451550.83204   16.427    0.015
  2451551.83226   15.811    0.014
  2451568.72340   16.308    0.010
  2451579.76372   15.713    0.008
  2451587.75637   16.037    0.007
  2451593.72136   15.814    0.014
  2451615.66940   15.887    0.008
  2451619.70121   16.087    0.010
  2451622.66041   15.817    0.011
  2451625.60429   15.799    0.010
  2451631.67135   16.326    0.018
