  2450477.68962   17.153    0.017
  2450478.72407   17.445    0.020
  2450800.79798   17.373    0.022
  2450818.79275   17.438    0.020
  2450820.73907   17.044    0.014
  2450846.71059   17.454    0.015
  2450851.72754   17.083    0.017
  2450880.70023   17.475    0.027
  2450891.65732   16.921    0.017
  2451120.85280   17.135    0.020
  2451176.79500   17.467    0.025
  2451184.79764   16.463    0.014
  2451186.72199   17.603    0.029
  2451191.72286   17.024    0.021
  2451206.71250   16.637    0.011
  2451208.72236   17.496    0.031
  2451215.68621   16.340    0.011
  2451222.63301   16.981    0.014
  2451233.64575   17.561    0.021
  2451245.56507   17.561    0.020
  2451252.56954   16.509    0.014
  2451518.77324   16.421    0.013
  2451532.75799   17.307    0.020
