ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,HJD,mag,errmag
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,561.48982,14.401,0.013
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,562.4819,14.349,0.006
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,573.48201,14.118,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,673.83661,14.36,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,701.80619,14.094,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,715.81355,14.069,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,722.82411,14.022,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,726.78214,14.384,0.014
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,728.82186,14.165,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,729.8767,14.011,0.007
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,741.87234,14.374,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,744.87783,14.011,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,745.71952,14.07,0.015
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,747.78652,14.2,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,748.74063,14.304,0.008
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,751.72385,14.064,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,759.79723,13.984,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,765.80024,14.337,0.01
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,769.79102,14.122,0.011
OGLE-LMC-CEP-1463,05:16:54.90,-69:19:50.4,OGLE2,I,303,774.79757,14.007,0.015
