epoch,mag,errmag
2450799.78669,15.008,0.01
2450822.65714,14.926,0.015
2450825.80705,15.459,0.01
2450894.63576,15.225,0.007
2451152.78553,15.084,0.01
2451156.78135,15.399,0.007
2451160.73799,15.165,0.013
2451166.71524,15.064,0.011
2451212.70664,15.447,0.01
2451222.71062,15.039,0.008
2451233.72431,15.482,0.006
2451241.61573,14.847,0.013
2451259.60659,15.316,0.006
2451472.81848,14.973,0.006
2451477.7527,15.431,0.014
2451494.84087,14.764,0.006
2451499.75143,15.572,0.01
2451521.76855,15.074,0.015
2451524.80467,15.135,0.011
2451545.79881,15.12,0.011
2451550.7047,14.727,0.015
2451562.68727,15.539,0.008
2451576.71084,15.557,0.01
2451583.70094,15.562,0.008
2451590.67316,15.551,0.013
2451593.64682,14.907,0.013
2451612.69447,15.216,0.008
2451621.60599,14.895,0.008
2451623.62522,15.19,0.007
2451629.62949,15.085,0.008
