ID,OGLE-II ID
OGLE-LMC-CEP-2795,LMC_SC17_153916
OGLE-LMC-CEP-2775,LMC_SC17_153917
OGLE-LMC-CEP-2765,LMC_SC17_153923
OGLE-LMC-CEP-2762,LMC_SC17_157908
OGLE-LMC-CEP-2805,LMC_SC17_203718
OGLE-LMC-CEP-2812,LMC_SC17_207446
OGLE-LMC-CEP-2813,LMC_SC17_227509
OGLE-LMC-CEP-2744,LMC_SC17_76725
OGLE-LMC-CEP-2937,LMC_SC18_113689
OGLE-LMC-CEP-2979,LMC_SC18_174762
OGLE-LMC-CEP-2866,LMC_SC18_29197
OGLE-LMC-CEP-2884,LMC_SC18_59963
OGLE-LMC-CEP-3013,LMC_SC19_48636
OGLE-LMC-CEP-2176,LMC_SC2_108984
OGLE-LMC-CEP-2225,LMC_SC2_158664
OGLE-LMC-CEP-2198,LMC_SC2_180132
OGLE-LMC-CEP-2204,LMC_SC2_180138
OGLE-LMC-CEP-2168,LMC_SC2_55470
OGLE-LMC-CEP-2189,LMC_SC2_97934
OGLE-LMC-CEP-2102,LMC_SC3_153951
OGLE-LMC-CEP-2090,LMC_SC3_162132
OGLE-LMC-CEP-2099,LMC_SC3_170203
OGLE-LMC-CEP-2094,LMC_SC3_170205
OGLE-LMC-CEP-2056,LMC_SC3_26910
OGLE-LMC-CEP-2127,LMC_SC3_317016
OGLE-LMC-CEP-2051,LMC_SC3_44256
OGLE-LMC-CEP-2066,LMC_SC3_62624
OGLE-LMC-CEP-1973,LMC_SC4_167923
OGLE-LMC-CEP-1983,LMC_SC4_176264
OGLE-LMC-CEP-1956,LMC_SC4_176266
OGLE-LMC-CEP-1957,LMC_SC4_176354
OGLE-LMC-CEP-2018,LMC_SC4_264185
OGLE-LMC-CEP-2008,LMC_SC4_295966
OGLE-LMC-CEP-2012,LMC_SC4_305691
OGLE-LMC-CEP-1994,LMC_SC4_331610
OGLE-LMC-CEP-1941,LMC_SC4_36266
OGLE-LMC-CEP-2042,LMC_SC4_408742
OGLE-LMC-CEP-2050,LMC_SC4_417847
OGLE-LMC-CEP-2043,LMC_SC4_417850
OGLE-LMC-CEP-2028,LMC_SC4_417853
OGLE-LMC-CEP-1942,LMC_SC4_44867
OGLE-LMC-CEP-1920,LMC_SC4_53458
OGLE-LMC-CEP-1945,LMC_SC4_53527
OGLE-LMC-CEP-1940,LMC_SC4_53528
OGLE-LMC-CEP-1833,LMC_SC5_220851
OGLE-LMC-CEP-1862,LMC_SC5_315434
OGLE-LMC-CEP-1884,LMC_SC5_416554
OGLE-LMC-CEP-1903,LMC_SC5_432746
OGLE-LMC-CEP-1910,LMC_SC5_455916
OGLE-LMC-CEP-1782,LMC_SC5_67063
OGLE-LMC-CEP-1616,LMC_SC6_118107
OGLE-LMC-CEP-1748,LMC_SC6_404591
OGLE-LMC-CEP-1647,LMC_SC6_66530
OGLE-LMC-CEP-1539,LMC_SC7_184038
OGLE-LMC-CEP-1578,LMC_SC7_270379
OGLE-LMC-CEP-1526,LMC_SC7_55964
OGLE-LMC-CEP-1513,LMC_SC7_6475
OGLE-LMC-CEP-1431,LMC_SC8_111955
OGLE-LMC-CEP-1417,LMC_SC8_111959
OGLE-LMC-CEP-1389,LMC_SC8_145094
OGLE-LMC-CEP-1424,LMC_SC8_145100
OGLE-LMC-CEP-1391,LMC_SC8_162069
OGLE-LMC-CEP-1463,LMC_SC8_224901
OGLE-LMC-CEP-1442,LMC_SC8_230925
OGLE-LMC-CEP-1462,LMC_SC8_254032
OGLE-LMC-CEP-1490,LMC_SC8_318671
OGLE-LMC-CEP-1353,LMC_SC8_33629
OGLE-LMC-CEP-1374,LMC_SC8_39745
OGLE-LMC-CEP-1364,LMC_SC8_52582
OGLE-LMC-CEP-1411,LMC_SC8_95310
OGLE-LMC-CEP-1313,LMC_SC9_204218
OGLE-LMC-CEP-1249,LMC_SC9_58697
