epoch,mag,errmag
2450455.73369,15.675,0.055
2450455.78127,15.922,0.071
2450456.60136,15.753,0.056
2450456.65108,15.703,0.042
2450456.72182,15.883,0.052
2450456.76928,16.042,0.091
2450456.82072,16.087,0.077
2450457.613,15.954,0.064
2450457.67164,15.773,0.049
2450457.73022,16.202,0.088
2450457.78888,16.329,0.092
2450457.84759,16.32,0.092
2450458.64545,15.907,0.059
2450459.56266,15.255,0.042
2450459.60883,15.609,0.06
2450459.6674,15.541,0.038
2450459.72685,15.565,0.056
2450459.77068,15.506,0.046
2450459.81447,15.65,0.067
2450461.57355,15.684,0.081
2450461.61735,15.578,0.048
2450461.676,15.709,0.066
2450461.74214,15.792,0.071
2450461.80416,15.613,0.042
2450462.57408,15.458,0.035
2450462.63272,15.782,0.064
2450462.6787,15.657,0.066
2450465.67756,15.901,0.076
2450465.72525,16.109,0.087
2450465.81002,16.083,0.097
2450466.66128,15.672,0.078
2450466.8128,15.639,0.085
2450467.66493,15.562,0.063
2450467.76954,15.885,0.064
2450468.67162,15.542,0.056
2450468.7418,15.684,0.059
2450468.80039,15.925,0.07
2450468.85155,16.002,0.101
2450469.67249,15.56,0.039
2450469.80952,15.944,0.076
2450470.74726,16.087,0.071
2450471.65833,15.923,0.057
2450471.79511,16.186,0.066
2450472.63292,15.759,0.05
2450472.67678,15.912,0.077
2450472.72057,15.951,0.073
2450472.78652,15.832,0.074
2450474.71248,15.64,0.06
2450475.54687,15.484,0.035
2450475.60566,15.548,0.052
2450475.6718,15.546,0.041
2450475.72393,15.523,0.042
2450476.75793,16.011,0.057
2450477.54361,15.609,0.032
2450477.59493,15.948,0.059
2450477.74239,15.94,0.06
2450477.82326,16.297,0.091
2450478.54976,15.885,0.085
2450478.77015,16.324,0.091
2450478.82912,16.236,0.095
2450479.54859,15.493,0.041
2450479.59251,15.726,0.055
2450479.75541,15.814,0.056
2450479.83012,15.529,0.042
2450480.58466,15.336,0.048
2450480.66583,15.514,0.083
2450480.75938,15.623,0.056
2450480.80351,15.71,0.077
2450481.56984,15.444,0.045
2450481.71821,15.668,0.056
2450481.76219,15.582,0.041
2450482.71908,15.775,0.087
2450483.58535,15.555,0.028
2450483.6298,15.953,0.064
2450483.67365,15.913,0.064
2450483.71766,15.931,0.059
2450483.76154,15.939,0.052
2450483.80546,16.086,0.066
2450484.58402,15.895,0.067
2450484.73707,15.92,0.063
2450484.78106,16.211,0.102
2450485.73461,16.342,0.102
2450485.77869,16.025,0.056
2450486.58417,15.429,0.052
2450486.62968,15.542,0.05
2450486.72623,15.567,0.045
2450486.77143,15.818,0.077
2450487.61112,15.695,0.07
2450487.65941,15.575,0.06
2450487.70716,15.305,0.042
2450487.75133,15.782,0.083
2450487.79551,15.836,0.067
2450488.59663,15.637,0.08
2450488.64059,15.786,0.077
2450488.70945,15.679,0.06
2450488.75346,15.747,0.064
2450488.79751,15.946,0.071
2450489.66135,15.842,0.09
2450489.74918,16.021,0.095
2450490.56559,16.101,0.091
2450490.70281,15.94,0.049
2450490.7469,16.062,0.09
2450490.79092,16.12,0.085
2450491.59012,15.764,0.031
2450491.64194,16.027,0.069
2450492.57429,16.155,0.076
2450492.64862,16.216,0.067
2450493.57733,15.515,0.041
2450493.62182,15.67,0.077
2450494.57205,15.411,0.039
2450494.61597,15.487,0.059
2450494.66019,15.509,0.057
2450494.70452,15.604,0.07
2450494.7495,15.852,0.071
2450495.57485,15.572,0.055
2450495.64851,15.668,0.056
2450496.57024,15.584,0.06
2450496.61501,15.77,0.063
2450497.74341,15.849,0.085
2450498.5693,16.087,0.074
2450498.61335,16.318,0.097
2450499.56426,16.044,0.074
2450499.75026,16.254,0.101
2450500.56265,15.554,0.052
2450500.60698,15.599,0.055
2450500.65188,15.61,0.062
2450500.70302,15.757,0.073
2450500.74747,15.78,0.062
2450501.57116,15.376,0.043
2450501.68991,15.922,0.083
2450507.55961,15.579,0.06
2450507.60478,15.516,0.036
2450509.55546,15.549,0.053
2450509.60253,15.634,0.049
2450509.65485,15.57,0.043
2450510.59708,15.6,0.035
2450510.64265,15.661,0.039
2450510.69024,15.883,0.074
2450512.5892,15.961,0.055
2450513.56949,15.648,0.041
2450513.61508,16.358,0.097
2450513.70676,16.018,0.095
2450514.57774,15.521,0.053
2450514.6468,15.569,0.062
2450514.69716,15.632,0.069
2450515.57189,15.619,0.06
2450515.67488,15.916,0.085
2450516.5782,15.507,0.034
2450516.63241,15.62,0.052
2450516.67933,16.056,0.097
2450516.72588,16.038,0.099
2450517.57619,15.713,0.074
2450517.62602,15.768,0.056
2450517.67601,16.01,0.08
2450518.61356,16.154,0.066
2450518.70786,16.102,0.084
2450519.70321,16.015,0.083
2450523.5796,15.536,0.042
2450523.63215,15.816,0.077
2450524.57196,15.711,0.06
2450524.62199,15.819,0.056
2450527.68428,15.858,0.088
2450531.57183,15.998,0.088
2450532.56132,15.961,0.076
2450534.61188,15.734,0.069
2450536.53146,15.843,0.101
2450536.5767,15.6,0.06
2450536.62713,15.625,0.049
2450537.52609,15.693,0.08
2450537.62625,15.748,0.077
2450539.63381,16.087,0.097
2450541.53308,15.481,0.08
2450541.59011,15.735,0.081
2450542.62153,15.626,0.067
2450542.66567,15.67,0.059
2450543.56037,15.834,0.098
2450544.51317,15.724,0.078
2450544.55748,15.685,0.053
2450544.60175,15.606,0.052
2450544.64697,15.729,0.053
2450551.5029,15.706,0.038
2450552.51122,15.833,0.052
2450553.51966,16.001,0.046
2450554.49642,15.857,0.073
2450554.58188,15.824,0.069
2450555.50273,15.432,0.043
2450560.51195,16.162,0.078
2450565.5205,16.101,0.064
2450566.5145,16.191,0.067
2450567.51555,16.272,0.077
2450569.51065,15.415,0.039
2450571.49645,15.724,0.066
2450572.52569,15.755,0.06
2450573.52955,15.914,0.05
2450574.48792,16.215,0.073
2450575.48656,15.485,0.042
2450576.50164,15.541,0.045
2450577.49553,15.657,0.074
2450578.50858,16.016,0.057
2450582.49124,15.559,0.057
2450583.49398,15.813,0.077
2450672.87937,15.529,0.043
2450689.90985,15.911,0.052
2450699.91326,15.442,0.041
2450701.83019,16.02,0.064
2450704.87268,15.554,0.034
2450706.85412,15.388,0.031
2450714.82155,15.461,0.042
2450728.78134,15.743,0.073
