5267.57216 15.973 0.004
5446.90742 15.595 0.004
5458.85741 15.889 0.004
5476.82692 15.749 0.004
5486.86101 15.320 0.004
5495.74304 15.899 0.004
5509.84193 15.698 0.004
5586.71459 15.473 0.004
5617.67436 15.981 0.004
5630.57790 15.312 0.004
5831.81683 16.052 0.004
5854.82661 16.035 0.004
5865.82418 16.092 0.004
5882.79117 15.925 0.004
5888.82446 15.432 0.004
5899.74113 15.363 0.004
5914.79657 15.518 0.004
5929.74381 15.608 0.004
5944.71808 15.701 0.004
5960.68549 16.034 0.004
6000.58689 15.890 0.004
6010.58175 15.515 0.004
6230.79224 15.938 0.004
6245.84272 15.359 0.004
6293.81085 15.312 0.004
6319.64153 15.309 0.004
6692.70005 15.656 0.004
6693.64813 15.953 0.004
6694.69195 16.159 0.004
6695.63705 15.318 0.004
6696.62462 15.744 0.004
6697.68268 16.029 0.004
6698.68304 16.097 0.004
6700.55642 15.831 0.004
6701.67748 16.091 0.004
6702.54769 15.856 0.004
6703.56685 15.590 0.004
6704.70456 15.953 0.004
6705.55423 16.132 0.004
6706.63353 15.306 0.004
6707.64623 15.729 0.004
6708.63391 16.006 0.004
6709.62828 16.136 0.004
6710.63761 15.446 0.004
6711.62457 15.833 0.004
6712.57521 16.064 0.004
6713.60305 15.849 0.004
6714.65969 15.593 0.004
6715.55954 15.904 0.004
6716.61208 16.115 0.004
6717.62072 15.318 0.004
6718.66754 15.710 0.004
6719.64781 15.995 0.004
6721.63087 15.414 0.004
6722.64017 15.822 0.004
7331.76935 16.076 0.004
