ID,mag_I,mag_V,ra,dec,DASCH ID
OGLE-LMC-CEP-2534,13.226,14.068,05:36:06.79,-68:49:13.4,APASS_J053606.8-684913
OGLE-LMC-CEP-1080,13.056,14.015999999999998,05:08:43.98,-68:45:28.0,
OGLE-LMC-CEP-0538,13.106,14.002,04:58:40.51,-67:06:03.3,APASS_J045840.5-670603
OGLE-LMC-CEP-1031,13.324000000000002,14.309,05:07:42.12,-69:14:48.1,S013203065976
OGLE-LMC-CEP-2979,13.684,14.828,05:42:16.62,-70:36:12.1,APASS_J054216.4-703614
OGLE-LMC-CEP-4357,13.524,14.65,05:45:09.95,-67:23:09.1,APASS_J054509.9-672309
OGLE-LMC-CEP-0787,13.198,14.13,05:03:09.07,-69:13:24.0,S013203066518
OGLE-LMC-CEP-4647,13.259,,05:15:13.99,-65:49:08.0,APASS_J051514.0-654908
OGLE-LMC-CEP-0970,13.327,14.263,05:06:52.97,-68:39:35.6,APASS_J050653.0-683936
OGLE-LMC-CEP-0535,,13.661,04:58:36.13,-70:06:38.4,APASS_J045836.1-700638
OGLE-LMC-CEP-0844,13.065,13.928,05:04:15.47,-69:01:36.4,S013203077766
OGLE-LMC-CEP-1086,13.463,14.319,05:08:48.37,-66:55:04.3,APASS_J050848.4-665504
OGLE-LMC-CEP-4061,13.118,13.972,05:29:25.61,-66:14:23.3,APASS_J052925.6-661423
OGLE-LMC-CEP-0820,13.628,14.428,05:03:47.89,-67:27:12.8,APASS_J050347.9-672713
OGLE-LMC-CEP-3396,13.178,14.137,04:46:08.50,-69:02:47.2,S0132330271
OGLE-LMC-CEP-2023,13.001,13.782,05:27:00.56,-71:38:35.7,APASS_J052700.6-713836
OGLE-LMC-CEP-4130,13.089,13.859000000000002,05:32:58.73,-66:43:26.2,APASS_J053258.7-664326
OGLE-LMC-CEP-2937,13.612,14.75,05:41:27.51,-70:47:45.1,S010103385793
OGLE-LMC-CEP-2168,13.67,14.64,05:30:02.24,-69:52:59.2,APASS_J053002.2-695259
OGLE-LMC-CEP-0848,13.373,14.229,05:04:21.08,-68:43:42.8,APASS_J050421.1-684343
OGLE-LMC-CEP-0174,13.666,14.739,04:50:52.44,-69:18:56.0,S013231178023
OGLE-LMC-CEP-2056,13.194,14.069,05:27:42.94,-70:00:49.9,APASS_J052742.9-700050
OGLE-LMC-CEP-0545,13.265999999999998,,04:58:47.11,-70:03:41.7,S013202387506
OGLE-LMC-CEP-3611,13.125,13.996,05:08:02.18,-71:57:38.6,APASS_J050802.2-715739
OGLE-LMC-CEP-1616,13.765999999999998,14.819,05:19:59.93,-69:10:25.5,S0132031114579
OGLE-LMC-CEP-0546,13.248,14.024,04:58:48.26,-67:19:07.9,APASS_J045848.3-671908
OGLE-LMC-CEP-1180,13.402,14.285,05:10:56.30,-69:01:55.7,S013203313523
OGLE-LMC-CEP-0683,13.414,14.321,05:01:24.94,-70:04:18.3,APASS_J050124.9-700418
OGLE-LMC-CEP-0727,13.286,14.12,05:02:10.24,-69:32:23.8,APASS_J050210.3-693224
OGLE-LMC-CEP-1001,13.489,14.380999999999998,05:07:21.69,-68:20:18.3,APASS_J050721.7-682018
OGLE-LMC-CEP-0504,13.792,14.838,04:57:56.71,-68:48:57.6,APASS_J045756.7-684858
OGLE-LMC-CEP-2636,13.558,14.44,05:37:22.45,-69:28:59.3,APASS_J053722.4-692859
OGLE-LMC-CEP-1184,13.62,14.57,05:11:05.41,-70:30:34.4,APASS_J051105.4-703034
OGLE-LMC-CEP-2307,13.917,,05:32:23.36,-68:59:43.9,APASS_J053223.4-685944
OGLE-LMC-CEP-0500,13.889,14.255,04:57:50.85,-67:50:18.8,APASS_J045750.9-675019
OGLE-LMC-CEP-1641,13.192,14.081,05:20:28.63,-69:01:31.8,APASS_J052028.6-690132
OGLE-LMC-CEP-1166,13.488,14.382,05:10:36.10,-69:08:17.8,S01320339182
OGLE-LMC-CEP-1088,13.4,,05:08:49.54,-68:59:59.1,APASS_J050849.5-685959
OGLE-LMC-CEP-2030,13.498,14.456,05:27:07.76,-68:29:42.9,S0132031134854
OGLE-LMC-CEP-0070,13.754,14.765999999999998,04:46:01.08,-69:38:55.8,APASS_J044601.1-693856
OGLE-LMC-CEP-4664,13.314,,05:25:48.51,-67:21:07.1,APASS_J052548.5-672107
OGLE-LMC-CEP-3013,13.512,14.43,05:42:51.05,-70:08:12.3,APASS_J054251.1-700812
OGLE-LMC-CEP-3091,13.711,14.697,05:44:51.78,-68:28:33.7,APASS_J054451.8-682834
OGLE-LMC-CEP-1100,13.38,14.207,05:09:04.38,-70:21:54.1,APASS_J050904.4-702154
OGLE-LMC-CEP-0648,13.696,14.640999999999998,05:00:48.36,-69:31:54.7,APASS_J050048.4-693155
OGLE-LMC-CEP-1539,13.504,14.515,05:18:22.11,-69:21:47.3,
OGLE-LMC-CEP-4057,13.203,14.037,05:29:16.58,-67:28:21.5,S0132001317978
OGLE-LMC-CEP-3203,13.382,14.188,05:48:06.94,-71:30:21.4,APASS_J054806.9-713021
OGLE-LMC-CEP-1578,13.405,14.151,05:19:14.79,-69:36:18.1,APASS_J051914.8-693618
OGLE-LMC-CEP-2337,13.637,14.546,05:33:00.99,-68:11:27.6,APASS_J053301.0-681128
OGLE-LMC-CEP-1862,13.769,14.752,05:24:13.45,-69:30:01.6,S013203183483
OGLE-LMC-CEP-0655,13.916,14.875,05:00:55.87,-68:26:20.8,APASS_J050055.9-682621
OGLE-LMC-CEP-1954,13.723,14.667,05:25:39.09,-71:06:39.8,APASS_J052539.1-710640
OGLE-LMC-CEP-0949,13.597,14.425,05:06:16.89,-68:40:33.8,S0132030102040
