ID,mag_I,mag_V,ra,dec,DASCH ID
OGLE-LMC-CEP-4008,14.088,14.877,05:26:56.38,-65:08:36.8,APASS_J052656.4-650837
OGLE-LMC-CEP-2028,14.034,14.776,05:27:04.99,-69:50:44.5,S0132002215326
OGLE-LMC-CEP-4194,13.805,14.517,05:36:30.64,-66:36:33.0,APASS_J053630.6-663633
OGLE-LMC-CEP-3929,14.241,15.109000000000002,05:22:33.43,-66:34:26.2,APASS_J052233.4-663426
OGLE-LMC-CEP-3553,14.274,15.145,05:04:18.30,-70:35:06.1,APASS_J050418.3-703506
OGLE-LMC-CEP-3886,14.004,14.78,05:20:38.49,-66:15:06.0,APASS_J052038.5-661506
OGLE-LMC-CEP-1364,14.162,14.974,05:15:18.78,-69:13:32.0,S0132031111762
OGLE-LMC-CEP-2775,14.165,15.0,05:39:08.07,-70:20:16.6,S010103279698
OGLE-LMC-CEP-1112,13.935,14.701,05:09:18.35,-68:17:58.4,S0132030116327
OGLE-LMC-CEP-1411,14.347,15.181,05:15:58.04,-69:42:43.5,S0132021106307
OGLE-LMC-CEP-4216,14.441,15.314,05:37:42.34,-66:28:43.4,APASS_J053742.3-662843
OGLE-LMC-CEP-3861,14.228,15.042,05:19:02.12,-67:27:17.3,APASS_J051902.1-672717
OGLE-LMC-CEP-0669,14.199000000000002,15.022,05:01:03.98,-70:51:07.6,APASS_J050104.0-705108
OGLE-LMC-CEP-1353,14.159,14.996,05:15:10.42,-69:22:58.0,S013203198714
OGLE-LMC-CEP-2968,14.393,15.339,05:42:07.91,-69:00:19.3,S010100183929
OGLE-LMC-CEP-0050,14.195,15.021,04:43:40.32,-69:34:14.2,S0132311186
OGLE-LMC-CEP-0825,14.134,14.961,05:03:51.26,-68:52:59.1,APASS_J050351.3-685259
OGLE-LMC-CEP-3566,14.067,14.825,05:04:57.13,-71:53:43.7,APASS_J050457.1-715344
OGLE-LMC-CEP-2262,14.191,15.043,05:31:35.29,-69:19:06.8,S013200226114
OGLE-LMC-CEP-1884,13.985,,05:24:33.27,-69:36:40.2,S013203172684
OGLE-LMC-CEP-1994,13.97,,05:26:22.57,-69:36:07.4,S013203172655
OGLE-LMC-CEP-3317,14.12,14.929,05:57:33.12,-69:12:01.7,
OGLE-LMC-CEP-0884,14.055,14.8,05:05:08.90,-69:15:12.1,S013203065572
OGLE-LMC-CEP-0126,14.375,15.296,04:49:33.99,-66:58:33.0,APASS_J044934.0-665833
OGLE-LMC-CEP-1945,14.838,16.022000000000002,05:25:31.44,-69:50:03.7,
OGLE-LMC-CEP-1442,14.295,15.189,05:16:19.62,-69:18:20.2,S0132031105511
OGLE-LMC-CEP-4574,14.018,14.837,06:04:19.96,-68:13:46.1,APASS_J060419.9-681346
OGLE-LMC-CEP-2336,14.608,15.595,05:32:58.52,-69:05:04.5,S013200243099
OGLE-LMC-CEP-4694,14.107,,05:47:03.67,-67:24:05.1,APASS_J054703.7-672405
OGLE-LMC-CEP-3285,14.044,14.743,05:53:07.87,-69:30:22.1,DASCH_J055307.9-693022
OGLE-LMC-CEP-4324,14.024,14.783,05:43:35.22,-67:18:48.2,APASS_J054335.2-671848
OGLE-LMC-CEP-2094,14.26,15.105,05:28:31.92,-69:50:54.1,
OGLE-LMC-CEP-2204,14.061,14.788,05:30:40.69,-69:45:09.0,S010100139397
OGLE-LMC-CEP-1463,14.192,15.015,05:16:54.90,-69:19:50.4,S0132031103177
OGLE-LMC-CEP-2744,14.224,15.112,05:38:43.41,-70:38:45.5,S010103393577
OGLE-LMC-CEP-2008,14.184,14.931,05:26:44.67,-69:48:09.6,APASS_J052644.7-694810
OGLE-LMC-CEP-4140,14.447,15.28,05:33:30.83,-72:11:31.9,APASS_J053330.8-721132
OGLE-LMC-CEP-3487,14.117,14.841,04:58:22.48,-71:45:54.2,APASS_J045822.5-714554
OGLE-LMC-CEP-2050,13.933,14.633,05:27:34.00,-69:51:22.5,APASS_J052734.0-695122
OGLE-LMC-CEP-0833,14.442,15.284,05:04:00.06,-68:38:54.7,S0132030103247
OGLE-LMC-CEP-3518,14.29,15.135,05:01:36.17,-71:19:40.4,S0101010102300
OGLE-LMC-CEP-4269,14.281,15.158,05:40:52.42,-67:19:48.8,S013200152428
OGLE-LMC-CEP-4239,14.327,15.124,05:38:46.39,-67:05:06.9,APASS_J053846.4-670507
OGLE-LMC-CEP-0482,14.661,15.655,04:57:28.73,-69:13:36.9,APASS_J045728.8-691337
OGLE-LMC-CEP-4275,14.411,15.328,05:41:07.01,-67:07:45.2,APASS_J054107.0-670745
OGLE-LMC-CEP-2012,14.123,14.913,05:26:49.99,-69:45:52.8,S01320022116
OGLE-LMC-CEP-4501,14.171,14.981,05:52:40.84,-67:01:39.0,S011200038735
OGLE-LMC-CEP-2066,14.092,14.788,05:27:55.00,-69:48:03.9,APASS_J052755.0-694804
OGLE-LMC-CEP-2127,14.311,15.128,05:29:14.59,-69:31:05.7,S013200212153
OGLE-LMC-CEP-0292,14.104,14.83,04:53:35.03,-66:38:55.0,APASS_J045335.0-663855
OGLE-LMC-CEP-0915,14.165,14.976,05:05:41.97,-68:51:05.3,S013203090396
OGLE-LMC-CEP-1782,14.271,15.087,05:22:41.76,-69:35:05.2,S013203175816
OGLE-LMC-CEP-0690,14.242,15.102,05:01:32.41,-67:06:40.3,APASS_J050132.4-670640
OGLE-LMC-CEP-0078,14.316,15.172,04:47:00.98,-70:05:52.5,
OGLE-LMC-CEP-2043,14.336,15.153,05:27:22.96,-69:50:58.1,S01320021021
OGLE-LMC-CEP-3677,14.223,15.027,05:11:26.03,-66:30:08.0,APASS_J051126.0-663008
OGLE-LMC-CEP-1261,14.348,15.156,05:13:10.09,-70:26:44.9,APASS_J051310.1-702645
OGLE-LMC-CEP-4316,14.281,15.108,05:43:11.78,-67:19:39.7,S0132003104825
OGLE-LMC-CEP-2909,14.732,15.662,05:41:08.95,-69:37:08.3,S0101001150667
OGLE-LMC-CEP-2051,14.095,14.834,05:27:36.69,-69:53:43.0,S010100116223
OGLE-LMC-CEP-1807,14.384,15.244000000000002,05:23:04.49,-70:31:13.8,APASS_J052304.5-703114
OGLE-LMC-CEP-1983,14.287,15.116,05:26:06.26,-69:50:24.6,S013203159481
OGLE-LMC-CEP-1389,14.186,14.925999999999998,05:15:38.37,-69:15:19.7,APASS_J051538.4-691520
OGLE-LMC-CEP-1835,14.36,15.25,05:23:30.11,-71:48:16.0,APASS_J052330.2-714816
OGLE-LMC-CEP-1531,14.571,15.487,05:18:08.25,-71:31:30.7,S010101353012
OGLE-LMC-CEP-0394,14.357,15.2,04:55:41.46,-68:06:55.5,APASS_J045541.5-680656
OGLE-LMC-CEP-0158,14.545,15.492,04:50:23.41,-69:09:17.4,S013231188743
OGLE-LMC-CEP-2090,14.178,14.925999999999998,05:28:29.64,-69:52:36.6,S010100119906
OGLE-LMC-CEP-2425,14.239,15.038,05:34:19.57,-67:59:34.3,APASS_J053419.6-675934
OGLE-LMC-CEP-1176,14.299,15.08,05:10:50.52,-70:12:17.4,APASS_J051050.5-701217
OGLE-LMC-CEP-4161,14.355,14.981,05:34:42.56,-66:17:09.8,APASS_J053442.5-661710
OGLE-LMC-CEP-2813,14.724,15.842,05:39:38.77,-70:02:31.4,S0101001131606
OGLE-LMC-CEP-1942,14.152,14.948,05:25:30.26,-69:52:15.6,S013203158778
OGLE-LMC-CEP-0033,14.386,15.216,04:41:57.93,-69:26:00.8,S013231175604
OGLE-LMC-CEP-2018,14.325,15.178,05:26:55.83,-70:04:47.3,APASS_J052655.8-700447
OGLE-LMC-CEP-0103,13.988,14.675,04:48:35.61,-67:35:00.0,S0132323593
OGLE-LMC-CEP-1866,14.259,15.058,05:24:19.00,-68:02:02.1,APASS_J052419.0-680202
OGLE-LMC-CEP-2198,14.35,15.191,05:30:37.54,-69:46:42.3,APASS_J053037.5-694642
OGLE-LMC-CEP-0380,14.701,15.683,04:55:21.43,-68:39:59.4,S0132011117675
OGLE-LMC-CEP-2042,14.234000000000002,14.988,05:27:21.28,-69:52:19.5,S0132002215090
OGLE-LMC-CEP-1344,14.166,14.853,05:15:04.60,-70:07:10.0,S013202177874
OGLE-LMC-CEP-1642,14.265,14.991,05:20:28.71,-68:04:37.6,APASS_J052028.7-680438
OGLE-LMC-CEP-3484,14.369000000000002,15.158,04:57:50.57,-71:25:36.4,APASS_J045750.6-712536
OGLE-LMC-CEP-0462,14.338,15.287,04:57:04.64,-68:34:18.3,APASS_J045704.6-683418
OGLE-LMC-CEP-4605,14.282,15.1,06:14:18.45,-68:55:17.6,APASS_J061418.5-685518
OGLE-LMC-CEP-2225,14.371,15.192,05:30:58.34,-69:57:31.8,S010100116170
OGLE-LMC-CEP-3791,14.215,15.012,05:15:56.75,-66:21:17.7,S011202115073
OGLE-LMC-CEP-1094,14.309,15.122,05:08:54.92,-68:43:10.1,APASS_J050854.9-684310
OGLE-LMC-CEP-2269,14.344,15.127,05:31:42.83,-70:28:07.1,S010103254669
OGLE-LMC-CEP-0660,14.461,,05:00:57.56,-69:36:02.7,APASS_J050057.6-693603
OGLE-LMC-CEP-0035,14.376,15.154000000000002,04:42:06.31,-67:58:11.6,S0132323522
OGLE-LMC-CEP-3335,14.196,14.942,06:00:23.92,-68:33:22.4,APASS_J060023.9-683322
OGLE-LMC-CEP-2492,14.305,15.092,05:35:31.79,-69:43:22.2,S010100147999
OGLE-LMC-CEP-1804,14.441,15.169,05:23:01.61,-71:45:25.5,
OGLE-LMC-CEP-1327,14.347,15.121,05:14:41.57,-70:42:32.0,S010101227002
OGLE-LMC-CEP-2099,14.252,14.954,05:28:35.10,-69:51:23.3,S010100123387
OGLE-LMC-CEP-0776,14.066,14.758,05:02:57.24,-68:41:43.1,S0132030100312
OGLE-LMC-CEP-1374,14.47,15.308,05:15:25.73,-69:20:27.3,S0132031102342
OGLE-LMC-CEP-0123,14.904000000000002,15.94,04:49:22.43,-69:09:01.8,S013231189573
OGLE-LMC-CEP-0306,14.342,15.173,04:53:49.76,-69:34:05.8,S013202230475
OGLE-LMC-CEP-1249,14.171,14.959,05:12:47.03,-69:06:08.9,S013203310475
OGLE-LMC-CEP-4699,14.127,14.78,05:53:05.71,-67:21:54.6,S01120004601
OGLE-LMC-CEP-0331,14.491,15.452,04:54:28.11,-68:29:54.4,S0132322111805
OGLE-LMC-CEP-1128,14.272,15.035,05:09:36.96,-68:02:43.6,APASS_J050937.0-680244
OGLE-LMC-CEP-2675,15.692,17.114,05:37:43.86,-69:35:10.9,
OGLE-LMC-CEP-4696,14.201,,05:50:50.54,-67:08:30.1,APASS_J055050.5-670830
OGLE-LMC-CEP-3258,14.419,15.205,05:50:57.05,-69:40:31.1,APASS_J055057.1-694031
OGLE-LMC-CEP-1313,14.289,15.03,05:14:19.39,-69:29:24.2,S013203187392
OGLE-LMC-CEP-3923,14.111,14.803,05:22:23.95,-71:59:18.7,APASS_J052223.9-715919
OGLE-LMC-CEP-1957,14.383,14.799,05:25:41.16,-69:50:52.6,S013203159368
OGLE-LMC-CEP-1941,14.58,15.521,05:25:29.28,-69:55:12.5,APASS_J052529.3-695513
OGLE-LMC-CEP-1952,14.235,15.03,05:25:35.38,-71:08:06.5,APASS_J052535.4-710806
OGLE-LMC-CEP-1424,14.68,15.566,05:16:03.85,-69:14:52.4,S0132031110147
OGLE-LMC-CEP-0308,14.673,15.512,04:54:01.13,-69:18:51.8,S013202237127
OGLE-LMC-CEP-1526,14.309,15.074000000000002,05:18:03.79,-69:25:36.0,S013203193567
OGLE-LMC-CEP-0594,14.382,15.227,04:59:45.08,-69:29:35.5,APASS_J045945.1-692936
OGLE-LMC-CEP-1903,14.423,15.245,05:24:43.91,-69:30:26.8,S013203182277
OGLE-LMC-CEP-3991,14.23,14.91,05:26:03.94,-66:02:36.8,APASS_J052603.9-660237
OGLE-LMC-CEP-1200,14.495,15.321,05:11:31.39,-68:35:29.1,S013203336402
OGLE-LMC-CEP-4107,14.467,15.271,05:31:56.02,-66:42:22.5,APASS_J053156.0-664222
OGLE-LMC-CEP-1748,14.265999999999998,15.005,05:22:19.37,-69:37:54.7,S013203171819
OGLE-LMC-CEP-1920,14.491,15.389,05:25:15.26,-69:50:59.8,S013203159283
OGLE-LMC-CEP-2866,14.587,15.443,05:40:26.67,-70:19:57.8,S010103281831
OGLE-LMC-CEP-2934,14.716,15.765,05:41:27.00,-69:10:16.4,S010100180233
OGLE-LMC-CEP-1950,14.785,15.757,05:25:34.97,-68:50:19.5,S0132031129800
OGLE-LMC-CEP-2805,14.645,15.585,05:39:32.35,-70:26:28.3,S0101033103189
OGLE-LMC-CEP-0556,14.505999999999998,15.369000000000002,04:59:01.75,-69:02:36.6,APASS_J045901.7-690237
OGLE-LMC-CEP-2448,14.544,15.496,05:34:40.09,-68:06:40.7,S013200358525
OGLE-LMC-CEP-1226,14.499,15.335,05:12:06.60,-66:35:18.4,APASS_J051206.6-663518
OGLE-LMC-CEP-1444,14.587,15.32,05:16:24.85,-70:33:09.7,APASS_J051624.8-703310
