ID;mag_I;mag_V;P;error_P;t_max;amp_I;R_21;phi_21;R_31;phi_31;mode;ra;dec;OGLE-IV ID;OGLE-III ID;OGLE-II ID;GCVS;DASCH
OGLE-LMC-CEP-2504;;13.179;24.336152300000002;0.0052354;;;;;;;F;05:35:36.14;-68:32:03.8;LMC174.6.14779;HV1003;;;True
OGLE-LMC-CEP-4630;;;24.239456699999998;0.0072798;6015.34358;;;;;;F;04:57:45.06;-65:42:30.1;HV6098;V;Dor;;True
OGLE-LMC-CEP-2832;12.770999999999999;13.825;24.133504600000002;0.00019219999999999998;6019.4974600000005;493;235;4.901;161;2.779;F;05:39:53.64;-67:50:08.8;LMC554.24.12767;HV1013;;;True
OGLE-LMC-CEP-4634;12.437000000000001;;23.9950282;0.0016294;6022.5003799999995;698;0.33299999999999996;5.015;245;3.266;F;05:03:08.06;-66:13:51.6;LMC512.15.4397D;HV886;;;True
OGLE-LMC-CEP-3409;13.140999999999998;14.15;23.681323300000003;0.00022430000000000003;6001.12842;0.7120000000000001;0.32899999999999996;5.027;204;3.375;F;04:49:04.39;-69:06:42.8;LMC531.23.8874;;;;False
OGLE-LMC-CEP-1677;13.083;13.92;23.5740471;0.00031120000000000003;6003.16953;915;0.34299999999999997;5.072;0.23199999999999998;3.5180000000000002;F;05:21:12.46;-69:03:07.5;LMC503.20.43237;HV938;;;True
OGLE-LMC-CEP-0501;;13.564;23.3111155;0.000538;;;;;;;F;04:57:51.04;-69:57:29.7;LMC509.16.21542;LMC128.7.11093;HV878;;True
OGLE-LMC-CEP-2780;13.395;14.628;23.1111863;0.00028310000000000005;6010.0441200000005;0.38299999999999995;192;4.541;146;2.4019999999999997;F;05:39:15.16;-69:19:39.2;LMC553.16.18730;LMC175.2.19;HV2749;;True
OGLE-LMC-CEP-2176;12.925999999999998;;23.0518799;0.0013177999999999998;6022.78402;648;318;5.062;191;3.423;F;05:30:13.47;-69:26:15.5;LMC516.30.8728D;LMC168.8.64450;LMC_SC2_108984;;True
OGLE-LMC-CEP-0467;12.775;13.704;22.719542899999997;0.00047999999999999996;6008.11996;0.6659999999999999;327;4.99;223;3.3569999999999998;F;04:57:12.33;-67:22:57.3;LMC533.03.4222;LMC132.3.14198;HV876;;True
OGLE-LMC-CEP-0079;13.103;14.132;22.543781699999997;0.0002185;6001.56476;0.6629999999999999;306;5.0360000000000005;192;3.3110000000000004;F;04:47:06.88;-69:17:39.5;LMC531.24.889D;U1;;;True
OGLE-LMC-CEP-0819;12.963;14.033;22.314455300000002;0.0001394;6007.631539999999;0.5720000000000001;282;4.98;174;3.074;F;05:03:46.17;-68:52:36.4;LMC510.13.62;LMC118.8.51202;LMC_SC14_109640;HV2291;True
OGLE-LMC-CEP-0147;;13.478;22.2630923;0.0037556999999999994;;;;;;;F;04:50:03.19;-68:15:34.9;LMC140.1.17934;;;;True
OGLE-LMC-CEP-0360;13.394;14.39;22.085903100000003;0.0005268;6007.0454;552;264;4.861000000000001;177;3.139;F;04:55:01.24;-69:40:20.1;LMC531.03.17012;LMC136.4.18188;HV2245;;True
OGLE-LMC-CEP-1587;12.945;13.972000000000001;21.6063407;0.00048550000000000004;6019.5142;264;141;4.105;79;1.89;F;05:19:27.78;-69:30:30.2;LMC503.12.17471;LMC_SC7_286532;HV2453;;True
OGLE-LMC-CEP-0801;12.875;13.77;21.2644027;0.0001899;6001.20824;726;349;4.944;249;3.21;F;05:03:26.49;-69:08:56.2;LMC510.05.56074;LMC_SC14_88441;HV2292;;True
OGLE-LMC-CEP-3956;12.963;13.934000000000001;21.2537954;0.000271;6015.18817;499;0.21600000000000003;5.004;124;2.609;F;05:24:29.13;-72:17:06.2;LMC501.01.12612;HV12804;;;True
OGLE-LMC-CEP-0935;12.898;13.904000000000002;21.1161935;0.0002229;6002.280760000001;529;245;5.027;0.13;3.2439999999999998;F;05:06:00.89;-69:06:17.2;LMC510.04.57340;LMC_SC13_74156;HV893;;True
OGLE-LMC-CEP-0063;;13.63;21.067711;0.004089199999999999;;;;;;;F;04:45:18.63;-69:16:38.6;LMC142.7.13456;;;;True
OGLE-LMC-CEP-3891;13.097999999999999;14.217;20.7077109;0.00029160000000000004;6015.624379999999;0.41100000000000003;0.19899999999999998;4.7219999999999995;158;2.54;F;05:20:55.55;-66:39:43.4;LMC505.20.12024;HV2454;;;True
OGLE-LMC-CEP-0712;12.742;13.620999999999999;20.7042681;0.00045860000000000003;6007.58352;0.49700000000000005;397;4.838;256;3.278;F;05:01:54.57;-68:54:14.5;LMC126.1.23248;LMC_SC15_148920;;;True
OGLE-LMC-CEP-0847;13.337;14.302999999999999;20.638944600000002;0.0001107;6016.76233;703;0.35100000000000003;5.147;0.22399999999999998;3.73;F;05:04:19.63;-68:55:49.1;LMC510.13.38;LMC118.8.12267;LMC_SC14_170005;;True
OGLE-LMC-CEP-2944;13.335999999999999;14.328;20.3183438;0.00023119999999999998;6000.825129999999;469;0.21899999999999997;4.872;159;2.7289999999999996;F;05:41:36.23;-69:41:37.1;LMC553.06.60169;LMC176.3.44974;HV2789;;True
OGLE-LMC-CEP-0249;13.099;13.95;20.0861576;0.00020980000000000003;6015.92029;0.5379999999999999;247;5.008;138;3.042;F;04:52:47.69;-68:20:55.4;LMC532.13.6;U11;;;True
OGLE-LMC-CEP-2949;13.167;14.125;19.2261771;0.000207;6010.41251;589;207;4.977;126;2.286;F;05:41:48.54;-68:41:16.1;LMC554.05.3;LMC182.7.32;HV2793;;True
OGLE-LMC-CEP-1833;13.197000000000001;14.12;19.1574001;0.0002275;6015.13799;615;262;5.023;142;2.9810000000000003;F;05:23:29.04;-69:18:37.5;LMC503.09.99300;LMC161.7.72831;LMC_SC5_220851;HV2488;True
OGLE-LMC-CEP-2534;13.225999999999999;14.068;18.7173242;0.0001962;6017.23323;669;309;5.12;172;3.391;F;05:36:06.79;-68:49:13.4;LMC517.10.12315;LMC174.8.37;HV1005;;True
OGLE-LMC-CEP-1080;13.056;14.015999999999998;18.6607062;0.0001393;6016.63714;504;217;4.9430000000000005;134;2.655;F;05:08:43.98;-68:45:28.0;LMC510.10.57309;LMC118.2.26606;LMC_SC11_250872;;False
OGLE-LMC-CEP-0538;13.106;14.002;18.5303986;0.0005803;6008.897370000001;326;163;5.109;77;3.795;F;04:58:40.51;-67:06:03.3;LMC533.10.3;LMC123.8.5;HV12499;;True
OGLE-LMC-CEP-1031;13.324000000000002;14.309000000000001;18.4694513;0.0001228;6000.8654799999995;0.5379999999999999;0.22;5.019;135;2.667;F;05:07:42.12;-69:14:48.1;LMC510.03.10;LMC_SC11_32393;HV901;;True
OGLE-LMC-CEP-2979;13.684000000000001;14.828;17.7952978;0.00010449999999999999;6008.7807299999995;557;0.22699999999999998;5.001;133;2.859;F;05:42:16.62;-70:36:12.1;LMC552.15.24362;LMC177.1.60564;LMC_SC18_174762;HV2791;True
