ID_OGLE,RAJ2000.0,DECJ2000.0,N_epoch_OGLE,ID_DASCH,N_epoch_DASCH,ID_EROS,N_epoch_EROS,ID_MACHO,N_epoch_Macho,N_total,OGLE_Period
OGLE-LMC-CEP-0091,04:47:46.14,-68:19:49.5,963,0,0.0,lm0152n26792,1021.0,0,0.0,1984.0,3.5989553
OGLE-LMC-CEP-0094,04:48:00.90,-69:19:14.8,788,0,0.0,lm0120l17475,571.0,0,0.0,1359.0,3.2127687999999996
OGLE-LMC-CEP-0095,04:48:01.97,-67:48:29.3,1269,0,0.0,lm0151k11657,680.0,0,0.0,1949.0,2.7749337000000005
OGLE-LMC-CEP-0100,04:48:34.21,-70:10:16.3,1177,0,0.0,lm0126k9880,672.0,46-1251-18,148.0,1997.0,3.2094085999999997
OGLE-LMC-CEP-0101,04:48:34.23,-69:20:50.2,902,S013231177401,175.0,lm0120l20798,793.0,0,0.0,1870.0,8.192437700000001
OGLE-LMC-CEP-0103,04:48:35.61,-67:35:00.0,961,S0132323593,379.0,lm0286l18652,974.0,0,0.0,2314.0,7.157278
OGLE-LMC-CEP-0104,04:48:45.64,-70:00:21.3,1364,0,0.0,0,0.0,44-1375-13,1764.0,3128.0,3.1095464
OGLE-LMC-CEP-0105,04:48:48.89,-66:44:02.1,1106,0,0.0,lm0282k15033,1040.0,0,0.0,2146.0,4.7407405
OGLE-LMC-CEP-0106,04:48:50.61,-70:14:53.2,860,0,0.0,0,0.0,46-1371-184,148.0,1008.0,3.2675037999999996
OGLE-LMC-CEP-0107,04:48:51.35,-69:21:22.8,1175,APASS_J044851.4-692123,665.0,lm0120l22066,724.0,0,0.0,2564.0,8.7388601
OGLE-LMC-CEP-0108,04:48:56.11,-68:54:06.7,1152,0,0.0,0,0.0,45-1391-15,864.0,2016.0,3.7476
OGLE-LMC-CEP-0109,04:48:56.62,-68:57:12.7,1219,0,0.0,0,0.0,45-1391-21,864.0,2083.0,2.85337
OGLE-LMC-CEP-0111,04:49:04.15,-69:18:02.4,1291,0,0.0,lm0120l14912,855.0,0,0.0,2146.0,1.6128624
OGLE-LMC-CEP-0114,04:49:12.46,-69:09:39.7,598,S013231189022,985.0,0,0.0,0,0.0,1583.0,10.371999
OGLE-LMC-CEP-0116,04:49:13.37,-70:08:59.8,930,0,0.0,lm0126m8035,1075.0,46-1373-1056,148.0,2153.0,3.4150617999999997
OGLE-LMC-CEP-0122,04:49:21.03,-67:52:18.3,1182,0,0.0,lm0151l10734,719.0,47-1407-21,1574.0,3475.0,1.2929953
OGLE-LMC-CEP-0123,04:49:22.43,-69:09:01.8,1061,S013231189573,158.0,lm0120m16398,857.0,0,0.0,2076.0,6.888538700000001
OGLE-LMC-CEP-0126,04:49:33.99,-66:58:33.0,923,APASS_J044934.0-665833,163.0,lm0284k5064,1054.0,0,0.0,2140.0,7.6992572
OGLE-LMC-CEP-0128,04:49:41.74,-70:37:38.1,1205,0,0.0,0,0.0,41-1487-24,902.0,2107.0,3.8457510999999998
OGLE-LMC-CEP-0130,04:49:44.13,-69:12:54.8,682,0,0.0,lm0120m26125,842.0,0,0.0,1524.0,3.4120477
OGLE-LMC-CEP-0131,04:49:45.04,-68:52:48.0,1233,0,0.0,0,0.0,45-1513-16,864.0,2097.0,2.869498
OGLE-LMC-CEP-0132,04:49:45.65,-69:04:22.7,702,0,0.0,0,0.0,0,0.0,702.0,3.0610615
OGLE-LMC-CEP-0138,04:49:55.62,-68:54:54.4,603,0,0.0,0,0.0,45-1512-31,864.0,1467.0,2.3754307999999997
OGLE-LMC-CEP-0139,04:49:57.14,-69:07:38.0,1317,APASS_J044957.1-690738,709.0,0,0.0,0,0.0,2026.0,9.7736415
OGLE-LMC-CEP-0140,04:49:57.59,-67:41:37.6,1089,0,0.0,lm0151m3461,924.0,47-1531-22,1584.0,3597.0,2.4202552
OGLE-LMC-CEP-0142,04:49:59.70,-69:47:06.3,1289,0,0.0,0,0.0,44-1499-26,878.0,2167.0,3.7719620000000003
OGLE-LMC-CEP-0149,04:50:09.58,-69:39:39.7,1537,0,0.0,0,0.0,44-1501-46,880.0,2417.0,3.0792302000000005
OGLE-LMC-CEP-0151,04:50:14.34,-68:49:28.1,1038,S013233048745,615.0,0,0.0,45-1635-9,864.0,2517.0,9.364514699999999
OGLE-LMC-CEP-0152,04:50:15.61,-68:59:52.9,1037,0,0.0,lm0157n20223,1049.0,0,0.0,2086.0,3.6938682999999997
OGLE-LMC-CEP-0154,04:50:17.80,-68:53:56.1,1304,0,0.0,0,0.0,45-1633-15,864.0,2168.0,4.1646485
OGLE-LMC-CEP-0155,04:50:19.00,-69:43:02.2,869,APASS_J045019.0-694302,812.0,0,0.0,44-1621-7,880.0,2561.0,9.8496665
OGLE-LMC-CEP-0158,04:50:23.41,-69:09:17.4,1176,S013231188743,660.0,lm0120m17155,939.0,0,0.0,2775.0,7.2298325
OGLE-LMC-CEP-0159,04:50:26.54,-70:33:27.5,765,0,0.0,0,0.0,41-1609-9,904.0,1669.0,5.4639150999999995
OGLE-LMC-CEP-0160,04:50:27.60,-69:07:56.6,1182,0,0.0,lm0120m13769,949.0,0,0.0,2131.0,3.2013176
OGLE-LMC-CEP-0161,04:50:29.05,-68:06:53.8,1001,0,0.0,lm0153m10499,878.0,47-1645-16,1574.0,3453.0,2.1149438
OGLE-LMC-CEP-0162,04:50:30.83,-69:30:14.9,1270,0,0.0,0,0.0,44-1624-20,880.0,2150.0,5.0243717000000006
OGLE-LMC-CEP-0163,04:50:32.68,-68:12:49.6,839,0,0.0,lm0153n11413,918.0,47-1644-21,1574.0,3331.0,3.4413496
OGLE-LMC-CEP-0164,04:50:35.98,-68:44:31.2,736,0,0.0,0,0.0,45-1636-816,862.0,1598.0,2.7808997000000004
OGLE-LMC-CEP-0165,04:50:37.75,-69:10:26.0,333,0,0.0,lm0120m20020,788.0,0,0.0,1121.0,3.2277115000000003
OGLE-LMC-CEP-0166,04:50:38.04,-70:34:31.7,913,0,0.0,0,0.0,41-1608-15,904.0,1817.0,3.1462898
OGLE-LMC-CEP-0167,04:50:41.96,-69:01:53.0,1144,APASS_J045042.0-690153,1112.0,0,0.0,45-1631-606,864.0,3120.0,12.5108516
OGLE-LMC-CEP-0168,04:50:43.72,-69:31:44.7,1113,0,0.0,0,0.0,44-1624-53,880.0,1993.0,1.7544103
OGLE-LMC-CEP-0169,04:50:48.64,-69:05:07.0,821,0,0.0,lm0120m6706,467.0,0,0.0,1288.0,5.776804599999999
OGLE-LMC-CEP-0170,04:50:48.99,-69:07:04.8,1169,0,0.0,lm0120m11618,704.0,0,0.0,1873.0,3.9895888
OGLE-LMC-CEP-0171,04:50:50.55,-69:15:22.2,838,0,0.0,lm0120n8913,956.0,0,0.0,1794.0,3.4122044999999996
OGLE-LMC-CEP-0172,04:50:50.57,-69:05:28.3,1203,0,0.0,lm0120m7603,956.0,0,0.0,2159.0,2.5161247
OGLE-LMC-CEP-0173,04:50:51.44,-66:59:56.7,1196,0,0.0,lm0284m7911,723.0,0,0.0,1919.0,3.0727919
OGLE-LMC-CEP-0174,04:50:52.44,-69:18:56.0,1158,S013231178023,691.0,0,0.0,0,0.0,1849.0,15.8633946
OGLE-LMC-CEP-0175,04:50:54.08,-69:31:41.6,828,0,0.0,0,0.0,44-1624-35,880.0,1708.0,3.0040744
OGLE-LMC-CEP-0176,04:50:55.68,-68:53:40.3,551,0,0.0,lm0157n6656,946.0,45-1755-35,864.0,2361.0,2.7567082999999997
OGLE-LMC-CEP-0177,04:50:56.40,-69:12:51.0,1154,0,0.0,lm0120m26076,520.0,0,0.0,1674.0,4.276418799999999
OGLE-LMC-CEP-0179,04:51:01.40,-69:36:07.9,822,0,0.0,0,0.0,44-1744-39,880.0,1702.0,2.6151686
OGLE-LMC-CEP-0180,04:51:02.49,-69:54:49.4,1198,0,0.0,0,0.0,44-1739-65,882.0,2080.0,1.0372144
OGLE-LMC-CEP-0181,04:51:04.91,-67:21:51.0,1197,0,0.0,lm0286m10346,660.0,0,0.0,1857.0,3.7039359
OGLE-LMC-CEP-0186,04:51:09.62,-69:08:23.1,1351,0,0.0,0,0.0,0,0.0,1351.0,5.3792477
OGLE-LMC-CEP-0188,04:51:12.68,-68:44:16.8,1194,0,0.0,0,0.0,45-1757-44,862.0,2056.0,1.6484261999999998
OGLE-LMC-CEP-0189,04:51:15.58,-69:05:17.2,1175,0,0.0,0,0.0,0,0.0,1175.0,5.9198864
OGLE-LMC-CEP-0191,04:51:17.96,-69:45:44.7,849,0,0.0,0,0.0,0,0.0,849.0,3.3540102
OGLE-LMC-CEP-0194,04:51:22.23,-70:35:31.8,1196,0,0.0,0,0.0,41-1729-16,916.0,2112.0,3.1455577999999997
OGLE-LMC-CEP-0196,04:51:24.14,-66:57:33.9,1059,0,0.0,0,0.0,0,0.0,1059.0,2.2983773999999997
OGLE-LMC-CEP-0197,04:51:24.38,-68:36:46.1,1593,0,0.0,0,0.0,45-1759-20,862.0,2455.0,2.6181370999999998
OGLE-LMC-CEP-0198,04:51:25.93,-69:33:11.6,1197,0,0.0,0,0.0,44-1745-47,880.0,2077.0,2.0349701000000002
OGLE-LMC-CEP-0199,04:51:27.76,-69:29:22.0,1235,0,0.0,0,0.0,44-1746-18,880.0,2115.0,4.2997888
OGLE-LMC-CEP-0201,04:51:31.77,-68:13:32.9,1292,0,0.0,lm0153n13769,1051.0,47-1765-22,1586.0,3929.0,2.5705997000000003
OGLE-LMC-CEP-0205,04:51:42.56,-69:36:30.6,669,0,0.0,0,0.0,0,0.0,669.0,2.6424119
OGLE-LMC-CEP-0206,04:51:45.34,-66:47:29.5,1189,0,0.0,lm0283l6221,982.0,0,0.0,2171.0,3.2728111
OGLE-LMC-CEP-0209,04:51:52.67,-69:05:48.9,1157,0,0.0,lm0121k8191,755.0,0,0.0,1912.0,3.1227846
OGLE-LMC-CEP-0210,04:51:55.36,-68:40:13.7,828,0,0.0,0,0.0,45-1879-16,1728.0,2556.0,4.7872335999999995
OGLE-LMC-CEP-0211,04:51:56.12,-69:20:36.8,1198,0,0.0,lm0121l23750,811.0,0,0.0,2009.0,2.0977485000000002
OGLE-LMC-CEP-0212,04:51:59.93,-68:53:27.0,1145,S013233038902,777.0,0,0.0,45-1876-15,864.0,2786.0,12.326506
OGLE-LMC-CEP-0213,04:52:00.78,-67:39:49.0,827,0,0.0,0,0.0,47-1894-24,1586.0,2413.0,1.6504667000000002
OGLE-LMC-CEP-0214,04:52:04.03,-68:25:18.3,1079,0,0.0,0,0.0,45-1883-1057,864.0,1943.0,2.4240208
OGLE-LMC-CEP-0215,04:52:05.56,-69:15:20.1,946,0,0.0,lm0121l9116,767.0,0,0.0,1713.0,2.5452257
OGLE-LMC-CEP-0216,04:52:05.58,-69:23:26.9,1043,0,0.0,lm0121l14456,847.0,0,0.0,1890.0,3.3986626
OGLE-LMC-CEP-0217,04:52:06.15,-69:46:09.2,1189,0,0.0,lm0125k2697,989.0,0,0.0,2178.0,3.0408565
OGLE-LMC-CEP-0218,04:52:07.70,-69:36:50.9,1047,S013202229494,364.0,0,0.0,0,0.0,1411.0,8.6221264
OGLE-LMC-CEP-0222,04:52:13.34,-68:51:23.7,1197,0,0.0,0,0.0,45-1876-43,864.0,2061.0,2.6968757
OGLE-LMC-CEP-0223,04:52:13.34,-69:52:02.0,1062,S013202219849,57.0,0,0.0,44-1861-14,884.0,2003.0,8.2392025
OGLE-LMC-CEP-0224,04:52:13.93,-69:00:42.2,731,0,0.0,lm0166l21791,926.0,45-1874-15,866.0,2523.0,3.7796318999999996
OGLE-LMC-CEP-0225,04:52:14.63,-66:35:32.3,1185,0,0.0,lm0281l11545,764.0,0,0.0,1949.0,4.4325622000000005
OGLE-LMC-CEP-0226,04:52:15.35,-68:49:44.9,924,0,0.0,0,0.0,45-1876-39,864.0,1788.0,2.6092305000000002
OGLE-LMC-CEP-0227,04:52:15.69,-70:14:31.3,1171,0,0.0,0,0.0,41-1855-10,914.0,2085.0,3.7970782
OGLE-LMC-CEP-0229,04:52:19.44,-69:23:01.4,823,0,0.0,0,0.0,0,0.0,823.0,4.5634595000000004
OGLE-LMC-CEP-0230,04:52:19.86,-69:05:29.1,1107,0,0.0,lm0121k7450,639.0,0,0.0,1746.0,3.6908117
OGLE-LMC-CEP-0235,04:52:26.65,-69:10:10.9,1169,0,0.0,lm0121k19180,958.0,0,0.0,2127.0,4.7622517
OGLE-LMC-CEP-0236,04:52:27.37,-69:30:54.8,1148,0,0.0,0,0.0,44-1987-2015,872.0,2020.0,3.2965051
