  2450822.74068   16.842    0.015
  2450844.78727   16.838    0.011
  2450875.66103   16.599    0.017
  2450897.67848   16.535    0.010
  2451090.87747   16.481    0.015
  2451131.76724   16.341    0.011
  2451144.79434   16.496    0.020
  2451153.76890   16.364    0.011
  2451155.82008   16.881    0.015
  2451157.83851   16.629    0.013
  2451159.81393   16.745    0.014
  2451166.84765   16.440    0.013
  2451194.77846   16.602    0.010
  2451205.76879   16.740    0.013
  2451207.78743   16.332    0.008
  2451212.76934   16.896    0.013
  2451214.79498   16.595    0.014
  2451216.75483   16.873    0.018
  2451221.75069   16.793    0.011
  2451239.64679   16.370    0.010
  2451248.59208   16.699    0.011
  2451258.57434   16.352    0.014
  2451291.62459   16.813    0.014
  2451472.86222   16.916    0.010
  2451477.81596   16.557    0.014
  2451495.84282   16.664    0.013
  2451498.84111   16.868    0.011
  2451521.83198   16.428    0.017
  2451524.81495   16.338    0.013
  2451545.86142   16.925    0.015
  2451550.83115   16.609    0.015
  2451551.83137   16.867    0.011
  2451568.72251   16.697    0.013
  2451579.76283   16.747    0.010
  2451587.75548   16.664    0.013
  2451593.72047   16.933    0.017
  2451615.66851   16.933    0.014
  2451619.70032   16.361    0.014
  2451622.65952   16.601    0.018
  2451625.60340   16.882    0.018
  2451631.67046   16.950    0.015
